Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Breathe,TOP,3,3,0,1,264,9.1,12333,424,25.5%,0,0,0,12233.62,9420.46,2173.62,639.54,421,27.9%,0.1,75%,19992.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Wei,JUNGLE,1,5,1,0.4,150,5.2,8495,292,17.6%,0,0,0,2617.17,2169.1,315.07,133,90,6%,0.07,50%,25756.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,xiaohu,MID,0,4,3,0.8,259,8.9,10385,357,21.5%,0,0,0,12246.41,1161.21,11085.2,0,421,27.9%,0.1,75%,18676.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,GALA,ADC,0,1,2,2,308,10.6,11335,390,23.5%,0,0,0,12481.59,9955.03,1005.7,1520.86,429,28.5%,0.07,50%,8042.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Ming,SUPPORT,0,4,1,0.3,32,1.1,5773,198,11.9%,0,0,0,4247.08,218.02,3681.06,348,146,9.7%,0.03,25%,17413.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Xiaolaohu,TOP,7,1,2,9,305,10.5,15634,538,25.9%,0,0,0,22383.09,10759.3,9461.76,2162.03,770,33.1%,0.31,52.9%,17150.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Clid,JUNGLE,3,1,7,10,154,5.3,10212,351,16.9%,0,0,0,7049.66,6138.39,590.27,321,242,10.4%,0.34,58.8%,18880.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Care,MID,2,1,12,14,247,8.5,12335,424,20.5%,0,0,0,14466.23,2068.2,10457,1941.03,497,21.4%,0.48,82.4%,12839.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Lwx,ADC,4,0,9,Perfect KDA,309,10.6,14241,490,23.6%,0,0,0,18529.62,16784.9,1320.72,424,637,27.4%,0.45,76.5%,12360.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,RNG vs FPX,Royal Never Give Up,2 - 1,Funplus Phoenix,WEEK2,12.10,2022-06-17,1,Hang,SUPPORT,1,1,14,15,41,1.4,7890,271,13.1%,0,0,0,5164.78,781.55,3761.54,621.69,178,7.6%,0.52,88.2%,9545.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
