Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Breathe,TOP,8,3,8,5.3,257,7.4,15354,442,24.8%,0,0,0,26255.05,22642.4,3504.65,108,756,27.2%,0.46,84.2%,28087.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Wei,JUNGLE,4,3,8,4,197,5.7,12185,351,19.7%,0,0,0,19423.83,15681.7,2820.14,921.99,559,20.1%,0.35,63.2%,37675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,xiaohu,MID,2,7,9,1.6,190,5.5,11990,345,19.4%,0,0,0,21665.26,1237.56,20275.7,152,624,22.5%,0.32,57.9%,21816.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,GALA,ADC,4,5,11,3,312,9,14393,414,23.2%,0,0,0,22267.47,18587.7,2767.87,911.9,641,23.1%,0.43,78.9%,16616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Ming,SUPPORT,1,4,9,2.5,41,1.2,7987,230,12.9%,0,0,0,6870.49,870.87,4831.14,1168.48,198,7.1%,0.29,52.6%,21437.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,369,TOP,4,6,10,2.3,213,6.1,12512,360,19.4%,0,0,0,20112.68,9408,9088.09,1616.59,579,21.7%,0.4,63.6%,38469.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Kanavi,JUNGLE,6,2,12,9,205,5.9,14805,426,23%,0,0,0,21087.63,17489.3,2408.91,1189.42,607,22.7%,0.52,81.8%,37163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryze,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Yagao,MID,4,4,10,3.5,276,7.9,13514,389,21%,0,0,0,19772.25,955.45,18816.8,0,569,21.3%,0.4,63.6%,24617.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Hope,ADC,8,4,7,3.8,269,7.7,14541,419,22.6%,0,0,0,22885.41,16746.3,5961.11,178,659,24.7%,0.43,68.2%,14852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,RNG vs JD Gaming,Royal Never Give Up,2 - 1,JD Gaming,WEEK8,12.13,2022-07-30,1,Missing,SUPPORT,0,3,20,6.7,16,0.5,9014,260,14%,0,0,0,8882.1,512.03,8066.54,303.53,256,9.6%,0.58,90.9%,14176.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
