Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,PandaC,TOP,0,7,3,0.4,218,6.8,11070,346,17.2%,0,0,0,5779.95,5607.07,172.88,0,181,7.7%,0.09,15.8%,23636.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Tarzan,JUNGLE,7,1,9,16,157,4.9,12666,396,19.6%,0,0,0,13704.71,9821.67,2925.04,958,428,18.2%,0.5,84.2%,30126.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Doinb,MID,6,4,9,3.8,297,9.3,15497,484,24%,0,0,0,31177.79,1154.86,28286.7,1736.23,974,41.4%,0.47,78.9%,16869.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Light,ADC,6,0,7,Perfect KDA,313,9.8,16783,524,26%,0,0,0,20329.85,18367.3,1335.55,627,635,27%,0.41,68.4%,7727.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,LvMao,SUPPORT,0,0,15,Perfect KDA,33,1,8532,267,13.2%,0,0,0,4377.01,817.42,2755.59,804,137,5.8%,0.47,78.9%,6364.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Breathe,TOP,2,4,5,1.8,262,8.2,11867,371,21.4%,0,0,0,20497.07,2963.79,11322.1,6211.18,641,33.7%,0.22,58.3%,28509.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Wei,JUNGLE,4,4,6,2.5,165,5.2,10662,333,19.3%,0,0,0,8860.42,8658.42,0,202,277,14.6%,0.31,83.3%,27000.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,xiaohu,MID,2,8,6,1,254,7.9,11724,366,21.2%,0,0,0,13596.6,704.1,12792.5,100,425,22.4%,0.25,66.7%,20759.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,GALA,ADC,3,2,2,2.5,319,10,13899,434,25.1%,0,0,0,8075.31,6672.91,1132.78,269.62,252,13.3%,0.16,41.7%,14542.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe,RNG vs LNG Esports,Royal Never Give Up,2 - 1,LNG Esports,WEEK6,12.12,2022-07-15,2,Ming,SUPPORT,1,1,7,8,23,0.7,7206,225,13%,0,0,0,9746.56,6870.96,2501.48,374.12,305,16%,0.25,66.7%,5745.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
