Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,Breathe,TOP,6,0,6,Perfect KDA,243,10.1,13258,552,24.5%,0,0,0,15484.84,13067.5,1967.34,450,645,20.4%,0.5,46.2%,11665.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,Wei,JUNGLE,5,1,14,19,153,6.4,10690,445,19.7%,0,0,0,14759.77,12660.8,1272.97,826,615,19.5%,0.79,73.1%,23530.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,xiaohu,MID,3,1,16,19,139,5.8,9821,409,18.1%,0,0,0,12123.25,2022.04,9911.21,190,505,16%,0.79,73.1%,10425.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,GALA,ADC,9,1,17,26,201,8.4,12789,533,23.6%,0,0,0,26211.14,21515.7,1131.17,3564.27,1091,34.5%,1.08,100%,10002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,Ming,SUPPORT,3,3,18,7,32,1.3,7645,318,14.1%,0,0,0,7304.89,1504.35,4987.06,813.48,304,9.6%,0.87,80.8%,13731.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornn,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,shanji,TOP,0,3,3,1,186,7.7,7332,305,20.2%,0,0,0,8033.19,2855.2,5177.99,0,334,17.5%,0.12,50%,19352.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,AKi,JUNGLE,0,6,5,0.8,102,4.2,5831,243,16%,0,0,0,3589.88,1963,1438.38,188.5,149,7.8%,0.21,83.3%,26398.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,Creme,MID,4,4,0,1,165,6.9,8643,360,23.8%,0,0,0,12038.74,716.04,10684.7,638,501,26.3%,0.17,66.7%,19205.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,Able,ADC,2,5,4,1.2,212,8.8,9545,397,26.3%,0,0,0,17504.53,10423.2,7081.33,0,729,38.2%,0.25,100%,14331.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,RNG vs OMG,Royal Never Give Up,2 - 1,OMG,WEEK4,12.11,2022-06-30,3,cold,SUPPORT,0,8,6,0.8,30,1.2,5009,209,13.8%,0,0,0,4694.84,617.1,4077.74,0,195,10.2%,0.25,100%,15468.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
