Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Breathe,TOP,3,3,6,3,265,9.5,13142,474,24.3%,0,0,0,16336.44,10096,4884.68,1355.76,589,28.2%,0.32,60%,14597.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Wei,JUNGLE,1,1,11,12,140,5,8867,320,16.4%,0,0,0,7788.29,6920.76,236.76,630.77,281,13.5%,0.43,80%,14592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,xiaohu,MID,6,0,7,Perfect KDA,256,9.2,12513,451,23.2%,0,0,0,14824.97,1866.77,9117.79,3840.41,534,25.6%,0.47,86.7%,9590.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,GALA,ADC,4,1,4,8,274,9.9,12652,456,23.4%,0,0,0,15250.66,5369.87,9880.79,0,550,26.4%,0.29,53.3%,5034.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Ming,SUPPORT,1,1,11,12,38,1.4,6833,246,12.7%,0,0,0,3654.68,858.3,1858.89,937.49,132,6.3%,0.43,80%,9275.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Biubiu,TOP,2,2,4,3,224,8.1,9955,359,22.3%,0,0,0,7488.51,4032.09,2989.93,466.49,270,23.9%,0.22,100%,16195.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,beishang,JUNGLE,1,3,4,1.7,141,5.1,8341,301,18.7%,0,0,0,3848.2,3085.52,501.18,261.5,139,12.3%,0.18,83.3%,20577.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Shanks,MID,2,4,3,1.3,211,7.6,9500,342,21.3%,0,0,0,11565.5,1048.8,10516.7,0,417,36.9%,0.18,83.3%,19463.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,Xing,ADC,1,2,2,1.5,273,9.8,11205,404,25.1%,0,0,0,5624.68,4812.69,464.44,347.55,203,18%,0.11,50%,8482.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,RNG vs Team WE,Royal Never Give Up,2 - 1,Team WE,WEEK6,12.12,2022-07-12,3,heal,SUPPORT,0,4,4,1,25,0.9,5614,202,12.6%,0,0,0,2789.76,591.17,1667.39,531.2,101,8.9%,0.14,66.7%,10516.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
