Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,Breathe,TOP,1,5,3,0.8,255,7.7,11034,333,21.8%,0,0,0,17613.02,2352.03,8451.55,6809.44,531,26.7%,0.12,80%,27028.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,Wei,JUNGLE,2,6,1,0.5,141,4.3,8640,261,17.1%,0,0,0,6623.96,5478.27,510.24,635.45,200,10.1%,0.09,60%,29611.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,xiaohu,MID,0,5,3,0.6,273,8.2,10916,329,21.6%,0,0,0,16428.57,1658.93,10594,4175.64,495,24.9%,0.09,60%,17587.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,GALA,ADC,2,2,1,1.5,347,10.5,13562,409,26.8%,0,0,0,20542.96,16261.7,1152.4,3128.86,619,31.2%,0.09,60%,12791.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,Ming,SUPPORT,0,4,2,0.5,38,1.1,6458,195,12.8%,0,0,0,4682.61,133.93,4429.22,119.46,141,7.1%,0.06,40%,15977.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,TheShy,TOP,2,2,7,4.5,227,6.8,12848,387,19.2%,0,0,0,17895.32,12749.2,4546.31,599.81,540,22.1%,0.27,40.9%,29783.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,SofM,JUNGLE,7,2,9,8,169,5.1,12775,385,19.1%,0,0,0,19576.52,15891.8,2055.53,1629.19,590,24.2%,0.48,72.7%,32791.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,Angel,MID,2,1,16,18,274,8.3,13932,420,20.8%,0,0,0,15821.32,1167.32,14654,0,477,19.6%,0.54,81.8%,19326.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,huanfeng,ADC,9,0,7,Perfect KDA,343,10.3,17321,522,25.9%,0,0,0,22013.92,19829.9,1129.64,1054.38,664,27.2%,0.48,72.7%,13722.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,RNG vs WBG,Royal Never Give Up,2 - 1,Weibo Gaming,WEEK3,12.10,2022-06-21,2,ON,SUPPORT,2,0,15,Perfect KDA,23,0.7,9945,300,14.9%,0,0,0,5600.72,1260.54,4074.18,266,169,6.9%,0.51,77.3%,9285.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
