Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Cube,TOP,1,2,0,0.5,236,8.9,9541,361,23.1%,0,0,0,7308.79,1836.7,3699.3,1772.79,276,19.1%,0.04,25%,19343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Leyan,JUNGLE,1,3,1,0.7,134,5.1,7502,284,18.2%,0,0,0,9198.64,7119.33,1593.57,485.74,348,24%,0.08,50%,23362.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Strive,MID,1,5,0,0.2,207,7.8,8615,326,20.9%,0,0,0,8806.3,712.32,8093.98,0,333,23%,0.04,25%,15214.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,iBOY,ADC,1,4,1,0.5,237,9,10531,398,25.5%,0,0,0,9411.89,7925.22,698.58,788.09,356,24.5%,0.08,50%,10446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,yuyanjia,SUPPORT,0,4,1,0.3,27,1,5090,192,12.3%,0,0,0,3625.78,803.64,2189.94,632.2,137,9.5%,0.04,25%,11440.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Flandre,TOP,3,2,6,4.5,250,9.5,11584,438,21.4%,0,0,0,13166.88,11224.2,1798.68,144,498,22.8%,0.34,50%,20912.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,JunJia,JUNGLE,4,0,9,Perfect KDA,122,4.6,9378,355,17.3%,0,0,0,11709.25,9849.23,1272.52,587.5,443,20.3%,0.49,72.2%,18185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Scout,MID,5,1,10,15,241,9.1,12537,474,23.2%,0,0,0,16574.25,74.05,16500.2,0,627,28.7%,0.57,83.3%,9812.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,Viper,ADC,6,1,6,12,271,10.2,13257,501,24.5%,0,0,0,12368.43,10864.4,1348.03,156,468,21.4%,0.45,66.7%,7769.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Rare Atom vs EDG,Rare Atom,0 - 2,Edward Gaming,WEEK8,12.13,2022-07-30,1,meiko,SUPPORT,0,0,16,Perfect KDA,12,0.5,7329,277,13.6%,0,0,0,3868.09,614.65,3253.44,0,146,6.7%,0.6,88.9%,7322.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
