Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Xiaolaohu,TOP,5,0,6,Perfect KDA,277,9.7,14332,501,23.6%,0,0,0,18819.75,2257.72,10715.7,5846.33,658,30.2%,0.38,50%,23250.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Clid,JUNGLE,7,0,5,Perfect KDA,152,5.3,12117,424,20%,0,0,0,10650.23,9320.97,845.26,484,373,17.1%,0.42,54.5%,17954.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Care,MID,3,0,7,Perfect KDA,241,8.4,11684,409,19.3%,0,0,0,11519.08,402.08,11117,0,403,18.5%,0.35,45.5%,20936.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Lwx,ADC,6,3,12,6,280,9.8,14209,497,23.4%,0,0,0,14190.19,6296.5,7795.69,98,496,22.7%,0.63,81.8%,17392.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Hang,SUPPORT,1,1,18,19,10,0.3,8323,291,13.7%,0,0,0,7233.26,966.65,5562.98,703.63,253,11.6%,0.66,86.4%,5017.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Cube,TOP,0,4,0,0,288,10.1,10234,358,22.1%,0,0,0,12784.19,4018.93,8427.59,337.67,447,23.8%,0,0%,16011.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Leyan,JUNGLE,1,4,2,0.8,160,5.6,8509,298,18.4%,0,0,0,10836.72,8912.08,1009.64,915,379,20.2%,0.1,75%,24861.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orianna,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,Strive,MID,1,2,1,1,277,9.7,10157,355,22%,0,0,0,13734.38,700.78,13033.6,0,481,25.6%,0.07,50%,12171.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,iBOY,ADC,0,7,4,0.6,259,9.1,11086,388,24%,0,0,0,12247.49,10525.9,835.03,886.56,428,22.8%,0.14,100%,13583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Rare Atom vs FPX,Funplus Phoenix,2 - 0,Rare Atom,WEEK4,12.11,2022-06-29,2,yuyanjia,SUPPORT,2,5,2,0.8,27,0.9,6229,218,13.5%,0,0,0,4108.51,1036.58,2031.69,1040.24,144,7.6%,0.14,100%,14641.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
