Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Cube,TOP,0,3,0,0,224,7.3,9662,316,20.2%,0,0,0,10616.92,6027.33,3899.59,690,347,19.6%,0,0%,21291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Leyan,JUNGLE,1,4,0,0.3,162,5.3,8978,294,18.8%,0,0,0,5472.58,4655.65,400.93,416,179,10.1%,0.03,50%,29665.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Strive,MID,0,2,1,0.5,270,8.8,11569,378,24.2%,0,0,0,17826.98,1492.85,15350.3,983.83,583,33%,0.03,50%,13463.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,iBOY,ADC,1,2,1,1,295,9.6,11501,376,24%,0,0,0,14890.59,13460.6,597.1,832.89,487,27.5%,0.07,100%,15359.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Zorah,SUPPORT,0,1,2,2,2,0.1,6112,200,12.8%,0,0,0,5291.28,641.08,4650.2,0,173,9.8%,0.07,100%,4914.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiora,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Zika,TOP,1,0,3,Perfect KDA,287,9.4,14357,469,23.8%,0,0,0,13120.7,7049.07,1319.59,4752.04,429,21.3%,0.13,33.3%,28223.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,XUN,JUNGLE,1,0,8,Perfect KDA,183,6,10861,355,18%,0,0,0,6107.94,5139.73,486.71,481.5,200,9.9%,0.29,75%,17209.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Mole,MID,6,0,4,Perfect KDA,264,8.6,13411,439,22.2%,0,0,0,24054.52,929.77,21903.6,1221.15,787,39.1%,0.33,83.3%,9282.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Ahn,ADC,3,2,4,3.5,301,9.8,13539,443,22.5%,0,0,0,14420.78,12194.5,897.04,1329.24,472,23.4%,0.23,58.3%,14365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Rare Atom vs IG,Rare Atom,1 - 2,Invictus Gaming,WEEK9,12.13,2022-08-02,1,Wink,SUPPORT,1,0,8,Perfect KDA,25,0.8,8133,266,13.5%,0,0,0,3825.63,884.52,2633.11,308,125,6.2%,0.29,75%,7529.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
