Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,Cube,TOP,3,1,7,10,339,9.1,15020,405,21.9%,0,0,0,12492.41,1636.57,7585.49,3270.35,337,13.6%,0.27,66.7%,21290.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,Leyan,JUNGLE,1,0,10,Perfect KDA,253,6.8,12601,340,18.4%,0,0,0,12712.51,10502.8,1886.18,323.53,343,13.8%,0.3,73.3%,29796.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orianna,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,Strive,MID,6,1,5,11,361,9.7,16212,437,23.6%,0,0,0,21043.45,744.33,19905,394.12,567,22.9%,0.3,73.3%,11146.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,iBOY,ADC,4,2,6,5,310,8.4,16217,437,23.6%,0,0,0,40051.03,23228.5,13077.7,3744.83,1080,43.5%,0.27,66.7%,11892.6,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Rakan,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,yuyanjia,SUPPORT,1,1,12,13,51,1.4,8570,231,12.5%,0,0,0,5741.5,605.24,4454.61,681.65,155,6.2%,0.35,86.7%,10664.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Kayle,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,shanji,TOP,1,2,1,1,422,11.4,16941,457,28.1%,0,0,0,14240.95,3951.82,8560.86,1728.27,384,30%,0.05,40%,19009.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,AKi,JUNGLE,2,3,0,0.7,188,5.1,10613,286,17.6%,0,0,0,6793.7,5955.94,0,837.76,183,14.3%,0.05,40%,26530.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,0909,MID,1,4,3,1,268,7.2,11592,313,19.2%,0,0,0,10341.12,631.68,9085.3,624.14,279,21.8%,0.11,80%,28256.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,cold,ADC,1,3,1,0.7,236,6.4,11073,299,18.3%,0,0,0,6264.97,562.65,4606.56,1095.76,169,13.2%,0.05,40%,31950.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,Rare Atom vs OMG,Rare Atom,2 - 1,OMG,WEEK2,12.10,2022-06-16,1,Able,SUPPORT,0,3,3,1,90,2.4,10131,273,16.8%,0,0,0,9754.14,9185,0,569.14,263,20.6%,0.08,60%,15042.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
