Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Breathe,TOP,2,1,2,4,339,10.2,14414,433,22.3%,0,0,0,20077.47,17688.7,1956.77,432,603,25.6%,0.12,26.7%,20550.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Wei,JUNGLE,3,1,8,11,177,5.3,11792,354,18.2%,0,0,0,11626.4,10016.6,1020.8,589,349,14.8%,0.33,73.3%,31349.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,xiaohu,MID,5,2,7,6,322,9.7,16421,493,25.4%,0,0,0,16848.3,1456.35,11464.5,3927.45,506,21.5%,0.36,80%,15565.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Ming,ADC,1,2,6,3.5,208,6.2,10804,324,16.7%,0,0,0,7436.43,583.83,5999.54,853.06,223,9.5%,0.21,46.7%,24090.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,GALA,SUPPORT,4,2,6,5,62,1.9,11222,337,17.4%,0,0,0,22333.64,19803.9,0,2529.74,671,28.5%,0.3,66.7%,15589.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Cube,TOP,0,1,4,4,314,9.4,12717,382,22.4%,0,0,0,7636.96,5081.54,2555.42,0,229,11%,0.12,50%,20941.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Leyan,JUNGLE,3,4,2,1.3,180,5.4,10106,303,17.8%,0,0,0,9855.89,9098.19,319.28,438.42,296,14.2%,0.15,62.5%,33100.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,Strive,MID,0,4,7,1.8,257,7.7,10566,317,18.6%,0,0,0,15141.27,931.67,14009.6,200,455,21.8%,0.21,87.5%,21511.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,iBOY,ADC,4,4,3,1.8,371,11.1,15998,480,28.2%,0,0,0,27146.25,25090.2,571.34,1484.71,815,39%,0.21,87.5%,20333.2,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yuumi,Rare Atom vs RNG,Rare Atom,0 - 2,Royal Never Give Up,WEEK8,12.13,2022-07-25,2,yuyanjia,SUPPORT,1,2,7,4,10,0.3,7433,223,13.1%,0,0,0,9773.13,1471.46,7567.67,734,293,14.1%,0.24,100%,5606.09,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
