Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,Cube,TOP,3,1,7,10,345,10.4,16363,495,24.6%,0,0,0,7786.18,5382.96,2295.22,108,235,13.4%,0.3,62.5%,14865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,Leyan,JUNGLE,5,0,7,Perfect KDA,203,6.1,12479,377,18.8%,0,0,0,11615.86,10413.2,857.66,345,351,20.1%,0.36,75%,29303.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,Strive,MID,4,0,7,Perfect KDA,301,9.1,14571,440,21.9%,0,0,0,15991.89,1570.39,14057.5,364,483,27.6%,0.33,68.8%,13656.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,iBOY,ADC,3,0,8,Perfect KDA,322,9.7,14815,448,22.3%,0,0,0,18796.1,4714.7,13805.4,276,568,32.5%,0.33,68.8%,9495.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,yuyanjia,SUPPORT,1,0,11,Perfect KDA,51,1.5,8211,248,12.4%,0,0,0,3731.53,214.27,3153.26,364,113,6.4%,0.36,75%,8888.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,Biubiu,TOP,0,3,0,0,290,8.8,11751,355,23.1%,0,0,0,8456.56,6585.2,1341.05,530.31,256,19.1%,0,0%,15875.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,beishang,JUNGLE,0,3,1,0.3,168,5.1,8621,261,17%,0,0,0,2732.5,2047.2,563.43,121.87,83,6.2%,0.03,100%,21844.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,Shanks,MID,1,3,0,0.3,265,8,10717,324,21.1%,0,0,0,14438.39,799.56,8560.62,5078.21,436,32.7%,0.03,100%,12907.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,SmLz,ADC,0,3,1,0.3,339,10.2,13124,397,25.8%,0,0,0,16214.42,13214.8,1158.6,1841.02,490,36.7%,0.03,100%,12775.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Rare Atom vs Team WE,Rare Atom,2 - 1,Team WE,WEEK4,12.11,2022-07-03,3,heal,SUPPORT,0,4,1,0.3,33,1,6560,198,12.9%,0,0,0,2333.47,454.07,1094.99,784.41,71,5.3%,0.03,100%,14382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
