Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Fiora,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,TheShy,TOP,3,2,2,2.5,384,9,18663,438,22.9%,0,0,0,24306.24,9653.28,2690.06,11962.9,571,22.9%,0.12,31.3%,41815.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,SofM,JUNGLE,3,4,10,3.3,239,5.6,14619,343,18%,0,0,0,13079.09,9730.97,2031.01,1317.11,307,12.3%,0.31,81.3%,40291.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,Angel,MID,3,4,9,3,266,6.2,15471,363,19%,0,0,0,24750.48,748.72,19171.6,4830.16,581,23.3%,0.28,75%,19805.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,huanfeng,ADC,6,0,5,Perfect KDA,476,11.2,23030,541,28.3%,0,0,0,40072.92,20086.9,18349.6,1636.42,941,37.8%,0.26,68.8%,22767.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,SwordArt,SUPPORT,1,4,11,3,10,0.2,9628,226,11.8%,0,0,0,3937.58,751.59,2665.66,520.33,92,3.7%,0.28,75%,14142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,Cube,TOP,4,1,3,7,332,7.8,16450,386,21.7%,0,0,0,23589.91,1504.72,17984.2,4100.99,554,24.8%,0.16,50%,34485.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,Leyan,JUNGLE,4,5,8,2.4,179,4.2,13152,309,17.3%,0,0,0,17939.32,15180.7,1867.99,890.63,421,18.8%,0.28,85.7%,37762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orianna,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,Strive,MID,4,3,4,2.7,405,9.5,18308,430,24.1%,0,0,0,18012.05,545.91,16534.1,932.04,423,18.9%,0.19,57.1%,20070.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,iBOY,ADC,2,3,5,2.3,453,10.6,19638,461,25.9%,0,0,0,33356.86,27282.6,2079.55,3994.71,783,35%,0.16,50%,23230.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Rare Atom vs WBG,Weibo Gaming,2 - 1,Rare Atom,WEEK3,12.11,2022-06-25,3,yuyanjia,SUPPORT,0,4,3,0.8,40,0.9,8421,198,11.1%,0,0,0,2288.35,380.39,1601.96,306,54,2.4%,0.07,21.4%,18600.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
