Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Hoya,TOP,2,1,6,8,306,8.4,15033,412,21.4%,0,0,0,13494.11,11678.4,1815.71,0,370,25.1%,0.22,61.5%,23569.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Beichuan,JUNGLE,3,0,7,Perfect KDA,188,5.2,12486,342,17.7%,0,0,0,7715.85,6612.25,675.28,428.32,211,14.3%,0.27,76.9%,20432.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Ucal,MID,2,0,7,Perfect KDA,337,9.2,15442,423,22%,0,0,0,13372.68,1422.32,9261.14,2689.22,367,24.9%,0.25,69.2%,9737.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Kepler,ADC,6,0,4,Perfect KDA,409,11.2,18581,509,26.4%,0,0,0,17244.07,16478.6,765.47,0,473,32.1%,0.27,76.9%,8849.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,yaoyao,SUPPORT,0,1,9,9,36,1,8806,241,12.5%,0,0,0,1962.29,418.78,1267.51,276,54,3.6%,0.25,69.2%,4421.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Bin,TOP,0,2,2,1,351,9.6,15302,419,25.6%,0,0,0,18797.42,12249.2,4948.94,1599.28,515,49.6%,0.05,100%,15759.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,WeiWei,JUNGLE,0,2,1,0.5,202,5.5,9810,269,16.4%,0,0,0,3204.65,2436.96,470.49,297.2,88,8.5%,0.03,50%,23760.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,icon,MID,1,3,0,0.3,323,8.9,13364,366,22.4%,0,0,0,6234.44,1091.8,5063.96,78.68,171,16.4%,0.03,50%,20210.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Doggo,ADC,1,2,0,0.5,379,10.4,14234,390,23.9%,0,0,0,7465.68,6516.36,421.36,527.96,205,19.7%,0.03,50%,9835.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,TT vs BLG,TT,2 - 1,Bilibili Gaming,WEEK5,12.11,2022-07-04,1,Crisp,SUPPORT,0,4,2,0.5,39,1.1,6948,190,11.6%,0,0,0,2204.91,35.03,1563.88,606,60,5.8%,0.05,100%,13310.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
