Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Zika,TOP,1,0,8,Perfect KDA,266,8.1,13101,399,21.2%,0,0,0,9681.76,7092.62,2577.45,11.69,295,18.3%,0.27,75%,18213.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,XUN,JUNGLE,2,1,7,9,189,5.8,11792,359,19.1%,0,0,0,11065.72,7880.45,1674.48,1510.79,337,20.9%,0.27,75%,26520.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Yuekai,MID,1,6,10,1.8,212,6.5,11488,350,18.6%,0,0,0,11125.57,795.08,10138.5,191.99,339,21%,0.34,91.7%,20614.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Ahn,ADC,8,1,3,11,340,10.4,17198,524,27.8%,0,0,0,15489.12,13742.6,1517.65,228.87,472,29.2%,0.34,91.7%,9637.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Wink,SUPPORT,0,2,8,4,45,1.4,8244,251,13.3%,0,0,0,5608.48,797.03,3321.52,1489.93,171,10.6%,0.24,66.7%,8738.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Hoya,TOP,1,3,5,2,194,5.9,9892,301,17.4%,0,0,0,11970.63,1546.45,10351.7,72.48,365,21.2%,0.18,60%,19292.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Beichuan,JUNGLE,2,3,5,2.3,192,5.9,10362,316,18.2%,0,0,0,9440.32,7554.04,1466.28,420,288,16.7%,0.21,70%,27695.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Ucal,MID,3,2,4,3.5,316,9.6,14017,427,24.7%,0,0,0,22325.89,1339.56,14670,6316.33,680,39.4%,0.21,70%,14048.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,Kepler,ADC,3,1,1,4,354,10.8,15432,470,27.1%,0,0,0,9633.59,8874.3,159.06,600.23,294,17%,0.12,40%,11889.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,TT vs IG,TT,2 - 1,Invictus Gaming,WEEK5,12.12,2022-07-10,2,yaoyao,SUPPORT,1,3,5,2,32,1,7157,218,12.6%,0,0,0,3224.29,437.04,2489.44,297.81,98,5.7%,0.18,60%,9476.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
