Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Hoya,TOP,0,1,7,7,280,8,13639,390,19.6%,0,0,0,15123.95,13407.9,1716.05,0,433,19.1%,0.2,38.9%,24758.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Beichuan,JUNGLE,6,1,5,11,220,6.3,13771,394,19.8%,0,0,0,12769.29,10749.3,1477.49,542.5,366,16.1%,0.31,61.1%,28791.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Ucal,MID,5,2,9,7,254,7.3,14362,411,20.6%,0,0,0,18965.13,563.33,18305.8,96,543,23.9%,0.4,77.8%,26171.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Kepler,ADC,7,1,9,16,369,10.6,18959,543,27.2%,0,0,0,27992.78,24858.9,2025.88,1108,801,35.3%,0.46,88.9%,17479.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,yaoyao,SUPPORT,0,1,15,15,44,1.3,8895,255,12.8%,0,0,0,4517.24,599.27,3205.74,712.23,129,5.7%,0.43,83.3%,13869.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,shanji,TOP,2,2,3,2.5,307,8.8,13989,400,24.7%,0,0,0,18202.99,11816,4616.12,1770.87,521,24.9%,0.14,83.3%,22229.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,AKi,JUNGLE,0,3,3,1,166,4.8,8881,254,15.7%,0,0,0,3832.33,3594.6,212.14,25.59,110,5.2%,0.09,50%,28495.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Creme,MID,1,4,4,1.3,220,6.3,11334,324,20%,0,0,0,19880.53,981.27,16980.7,1918.56,569,27.2%,0.14,83.3%,23470.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Able,ADC,2,5,3,1,369,10.6,15199,435,26.9%,0,0,0,27217.52,23721.4,2490.55,1005.57,779,37.2%,0.14,83.3%,19059.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,TT vs OMG,TT,2 - 1,OMG,WEEK7,12.12,2022-07-19,3,Jerry,SUPPORT,1,4,5,1.5,19,0.5,7141,204,12.6%,0,0,0,4042.91,472.63,2400.28,1170,116,5.5%,0.17,100%,10137.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
