Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Biubiu,TOP,0,2,0,0,250,8.8,9476,333,21.2%,0,0,0,7679.14,1943.17,3698.9,2037.07,270,22.6%,0,0%,20579.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,beishang,JUNGLE,2,3,1,1,158,5.6,8350,293,18.7%,0,0,0,4128.94,3652.58,210.86,265.5,145,12.2%,0.11,100%,19632.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,xiye,MID,1,1,2,3,223,7.8,9983,351,22.3%,0,0,0,11169.5,931.5,10238,0,393,32.9%,0.11,100%,17063.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,SmLz,ADC,0,1,1,1,315,11.1,11250,395,25.2%,0,0,0,7932.01,3586.04,4345.97,0,279,23.4%,0.04,33.3%,12937.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,heal,SUPPORT,0,1,3,3,5,0.2,5627,198,12.6%,0,0,0,3017.16,406.49,2190.67,420,106,8.9%,0.11,100%,3519.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,xiaoxiang,TOP,0,0,6,Perfect KDA,259,9.1,11103,390,21%,0,0,0,13990.06,12146.4,1843.66,0,492,26.2%,0.21,75%,15750.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Beichuan,JUNGLE,2,1,5,7,197,6.9,10276,361,19.5%,0,0,0,6672.22,4482.71,1405.8,783.71,235,12.5%,0.25,87.5%,20887.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Ucal,MID,2,1,3,5,268,9.4,11559,406,21.9%,0,0,0,11736.67,1208.37,10528.3,0,413,22%,0.18,62.5%,10787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Puff,ADC,2,0,4,Perfect KDA,317,11.1,12779,449,24.2%,0,0,0,18710.12,14983.4,1910.49,1816.23,658,35.1%,0.21,75%,7834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,TT vs Team WE,TT,2 - 0,Team WE,WEEK3,12.11,2022-06-23,2,Southwind,SUPPORT,2,1,5,7,12,0.4,7046,248,13.4%,0,0,0,2241.72,279.32,1654.4,308,79,4.2%,0.25,87.5%,4991.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
