Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Kennen,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,xiaoxiang,TOP,3,4,2,1.3,219,7.3,10329,346,20.4%,0,0,0,16085.87,2556.57,13529.3,0,539,29.2%,0.17,62.5%,19425.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Beichuan,JUNGLE,2,2,4,3,186,6.2,9908,332,19.6%,0,0,0,10234.13,7780.79,1222.84,1230.5,343,18.6%,0.2,75%,28636.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Ucal,MID,2,0,4,Perfect KDA,260,8.7,13062,437,25.8%,0,0,0,10839.23,1952.93,8498.3,388,363,19.7%,0.2,75%,10475.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Puff,ADC,1,1,1,2,261,8.7,10777,361,21.3%,0,0,0,13495.22,10200.3,3101.34,193.58,452,24.5%,0.07,25%,15151.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Southwind,SUPPORT,0,0,5,Perfect KDA,17,0.6,6469,217,12.8%,0,0,0,4463.96,412.01,3617.66,434.29,149,8.1%,0.17,62.5%,5288.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Rich,TOP,1,3,2,1,241,8.1,11332,379,21.2%,0,0,0,13708.32,2236.63,7304.48,4167.21,459,26.6%,0.1,42.9%,25044.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Karsa,JUNGLE,4,3,3,2.3,202,6.8,11215,376,21%,0,0,0,7957.61,6509.52,604.09,844,266,15.4%,0.23,100%,21207.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Dream,MID,1,0,5,Perfect KDA,277,9.3,11497,385,21.5%,0,0,0,7221.43,0,7221.43,0,242,14%,0.2,85.7%,14893.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kog,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Photic,ADC,1,1,6,7,256,8.6,12465,417,23.4%,0,0,0,20691.74,9001.74,10308,1382,693,40.1%,0.23,100%,12082.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,TT vs V5,TT,0 - 2,Victory Five,WEEK2,12.10,2022-06-15,1,Ppgod,SUPPORT,0,1,6,6,18,0.6,6866,230,12.9%,0,0,0,1992.59,526.24,1466.35,0,67,3.9%,0.2,85.7%,6869.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
