Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Zdz,TOP,1,1,2,3,260,9.4,12166,441,22.3%,0,0,0,7253.39,4748.39,2505,0,263,19.4%,0.11,33.3%,15011.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Xiaohao,JUNGLE,3,0,5,Perfect KDA,202,7.3,11292,410,20.7%,0,0,0,10292.85,765.92,8817.54,709.39,373,27.5%,0.29,88.9%,13389.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Forge,MID,3,0,6,Perfect KDA,255,9.3,11375,413,20.9%,0,0,0,6814.74,450.09,6128.46,236.19,247,18.2%,0.33,100%,8719.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Betty,ADC,2,0,6,Perfect KDA,293,10.6,13166,478,24.1%,0,0,0,8539.14,7234.84,771.84,532.46,310,22.8%,0.29,88.9%,10816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Qiuqiu,SUPPORT,0,1,9,9,29,1.1,6540,237,12%,0,0,0,4566.86,498.49,3049.1,1019.27,166,12.2%,0.33,100%,9416.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Biubiu,TOP,0,1,2,2,227,8.2,9679,351,22.2%,0,0,0,6449.94,6242,207.94,0,234,21.9%,0.07,100%,12260.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,beishang,JUNGLE,0,2,2,1,162,5.9,7621,276,17.5%,0,0,0,1667.23,1447.27,185.96,34,60,5.7%,0.07,100%,17962.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Shanks,MID,1,1,1,2,271,9.8,10728,389,24.6%,0,0,0,8328.33,389.7,7725.33,213.3,302,28.3%,0.07,100%,5659.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Xing,ADC,1,1,0,1,283,10.3,10230,371,23.4%,0,0,0,10032.02,4328.9,4961.12,742,364,34.1%,0.04,50%,8299.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,Team WE vs AL,Team WE,0 - 2,Anyone s Legend,WEEK7,12.12,2022-07-18,2,Kedaya,SUPPORT,0,4,2,0.5,36,1.3,5414,196,12.4%,0,0,0,2940.47,132.55,2807.92,0,107,10%,0.07,100%,10582.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
