Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Zika,TOP,5,6,2,1.2,206,7.1,12034,413,24.6%,0,0,0,14515.07,11876.8,2430.27,208,498,23.8%,0.24,70%,28910.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,XUN,JUNGLE,1,6,6,1.2,172,5.9,9033,310,18.5%,0,0,0,10115.35,9233.26,336.59,545.5,347,16.6%,0.24,70%,32750.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Mole,MID,2,7,5,1,223,7.7,9774,335,20%,0,0,0,13593.83,706.39,12628.1,259.34,466,22.3%,0.24,70%,17384.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Ahn,ADC,2,5,6,1.6,283,9.7,12064,414,24.7%,0,0,0,19365.06,17668.5,356.07,1340.49,664,31.8%,0.27,80%,18699.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Wink,SUPPORT,0,7,2,0.3,37,1.3,5934,204,12.2%,0,0,0,3333.95,984.78,1851.17,498,114,5.5%,0.07,20%,17174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Biubiu,TOP,5,2,21,13,240,8.2,14351,492,22.3%,0,0,0,24458.68,14804.1,7325.82,2328.76,839,26.2%,0.89,83.9%,22173.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,View,JUNGLE,3,3,20,7.7,139,4.8,10875,373,16.9%,0,0,0,11757.4,8737.94,2321.46,698,403,12.6%,0.79,74.2%,22448.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,xiye,MID,12,2,8,10,246,8.4,14137,485,22%,0,0,0,18746.29,1312.2,15181.1,2252.99,643,20.1%,0.69,64.5%,18530.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Xing,ADC,10,0,16,Perfect KDA,280,9.6,17108,587,26.6%,0,0,0,32459,15537.3,16701.6,220.1,1114,34.7%,0.89,83.9%,12850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,Team WE vs IG,Team WE,1 - 2,Invictus Gaming,WEEK7,12.13,2022-07-23,2,Kedaya,SUPPORT,1,3,18,6.3,27,0.9,7904,271,12.3%,0,0,0,6063.7,441.89,4703.21,918.6,208,6.5%,0.65,61.3%,18258.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
