Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,369,TOP,6,3,10,5.3,291,9.2,16278,516,23.5%,0,0,0,26834.93,24074.5,2760.43,0,851,29.4%,0.51,64%,29639.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bel,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Kanavi,JUNGLE,6,5,10,3.2,208,6.6,13617,432,19.6%,0,0,0,14548.43,8466.94,2385.99,3695.5,462,15.9%,0.51,64%,29710.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Yagao,MID,3,4,18,5.3,252,8,13794,438,19.9%,0,0,0,22157.37,1269.47,20381.9,506,703,24.3%,0.67,84%,18190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Hope,ADC,7,1,10,17,295,9.4,16104,511,23.2%,0,0,0,19703.03,15344.7,3968.33,390,625,21.6%,0.54,68%,12697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Missing,SUPPORT,3,2,13,8,41,1.3,9536,303,13.8%,0,0,0,8007.73,1368.4,5789.33,850,254,8.8%,0.51,64%,17776.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Biubiu,TOP,3,8,8,1.4,217,6.9,10363,329,19.4%,0,0,0,15533.12,8213,6170.12,1150,493,20.4%,0.35,73.3%,33485.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,beishang,JUNGLE,5,5,6,2.2,183,5.8,10696,339,20%,0,0,0,8395.83,7256.55,587.28,552,266,11%,0.35,73.3%,30305.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Shanks,MID,4,4,9,3.3,290,9.2,13317,423,25%,0,0,0,28602.58,881.48,27546.1,175,908,37.5%,0.41,86.7%,13923.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Xing,ADC,3,4,6,2.3,266,8.4,12269,389,23%,0,0,0,18498.87,16821.9,1568.97,108,587,24.2%,0.29,60%,13840.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK6,12.12,2022-07-15,2,Kedaya,SUPPORT,0,4,9,2.3,33,1,6728,213,12.6%,0,0,0,5260.66,585.88,4674.78,0,167,6.9%,0.29,60%,17738.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
