Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,PandaC,TOP,1,3,1,0.7,272,8.1,12360,370,19.4%,0,0,0,13140.22,9424.57,3715.65,0,393,16.6%,0.06,14.3%,29314.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Tarzan,JUNGLE,6,3,3,3,153,4.6,11763,352,18.4%,0,0,0,10867.91,9194.04,1065.87,608,325,13.7%,0.27,64.3%,24487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Doinb,MID,1,0,7,Perfect KDA,357,10.7,14749,441,23.1%,0,0,0,23527.6,519.6,23008,0,704,29.7%,0.24,57.1%,8148.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Light,ADC,5,2,4,4.5,360,10.8,16426,491,25.7%,0,0,0,22624.1,10178.1,11876,570,677,28.6%,0.27,64.3%,15308.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,LvMao,SUPPORT,1,1,8,9,2,0.1,8571,256,13.4%,0,0,0,8998.58,1120.48,7878.1,0,269,11.4%,0.27,64.3%,5529.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Demon,TOP,1,2,6,3.5,284,8.5,12061,361,22.2%,0,0,0,20113.6,2153.33,10515.2,7445.07,602,36.1%,0.21,77.8%,25032.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,View,JUNGLE,1,3,5,2,168,5,9417,282,17.4%,0,0,0,6519.39,5280.54,810.35,428.5,195,11.7%,0.18,66.7%,29998.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Shanks,MID,1,3,6,2.3,275,8.2,11677,349,21.5%,0,0,0,9772.53,547.38,6306.93,2918.22,292,17.5%,0.21,77.8%,17532.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Xing,ADC,4,3,3,2.3,319,9.5,13587,406,25.1%,0,0,0,15062.32,10661.5,4318.84,81.98,451,27%,0.21,77.8%,20954.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,Team WE vs LNG Esports,Team WE,0 - 2,LNG Esports,WEEK8,12.13,2022-07-31,2,Kedaya,SUPPORT,2,3,6,2.7,10,0.3,7474,224,13.8%,0,0,0,4219.98,425.36,3794.62,0,126,7.6%,0.24,88.9%,10718.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
