Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,Biubiu,TOP,6,1,8,14,226,8.1,13677,488,23.1%,0,0,0,19474.92,12448.4,5425.62,1600.9,696,26.1%,0.5,60.9%,13909.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volibear,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,beishang,JUNGLE,4,3,15,6.3,133,4.8,10508,375,17.7%,0,0,0,10829.45,5782.52,4341.55,705.38,387,14.5%,0.68,82.6%,21917.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,Shanks,MID,5,0,10,Perfect KDA,225,8,11853,423,20%,0,0,0,18616.7,326.4,18290.3,0,665,25%,0.54,65.2%,16444.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,SmLz,ADC,6,2,9,7.5,279,10,15245,544,25.7%,0,0,0,21583.8,17468.7,1465.58,2649.52,771,29%,0.54,65.2%,8782.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,heal,SUPPORT,2,2,12,7,29,1,7973,285,13.5%,0,0,0,4044.01,604.69,2513.32,926,144,5.4%,0.5,60.9%,11823.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aatrox,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,shanji,TOP,4,4,2,1.5,216,7.7,10551,377,23.5%,0,0,0,14149.6,14037.6,0,112,505,28%,0.21,75%,31847.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,AKi,JUNGLE,3,4,3,1.5,149,5.3,9018,322,20.1%,0,0,0,6803.07,5616.26,946.31,240.5,243,13.5%,0.21,75%,21744.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,Creme,MID,1,4,4,1.3,210,7.5,9491,339,21.2%,0,0,0,18893.6,2358.45,10864.2,5670.95,675,37.4%,0.18,62.5%,15546.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,Able,ADC,0,5,4,0.8,229,8.2,9828,351,21.9%,0,0,0,8158.42,7530.49,627.93,0,291,16.1%,0.14,50%,14138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thresh,Team WE vs OMG,Team WE,1 - 2,OMG,WEEK5,12.12,2022-07-08,1,cold,SUPPORT,0,6,5,0.8,36,1.3,5925,212,13.2%,0,0,0,2537.38,109.96,1713.42,714,91,5%,0.18,62.5%,13868.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
