Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,Biubiu,TOP,0,5,1,0.2,193,7.8,7619,308,21%,0,0,0,7517.2,6288.06,1125.14,104,304,26.2%,0.04,100%,18709.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,beishang,JUNGLE,1,1,0,1,121,4.9,7529,305,20.7%,0,0,0,2496.32,1346.08,1057.24,93,101,8.7%,0.04,100%,22449.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,Shanks,MID,0,2,1,0.5,208,8.4,7848,318,21.6%,0,0,0,8221.49,476.66,7744.83,0,333,28.6%,0.04,100%,15601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,SmLz,ADC,0,6,1,0.2,217,8.8,8341,338,22.9%,0,0,0,5498.3,2905.83,704.4,1888.07,223,19.1%,0.04,100%,18098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,heal,SUPPORT,0,4,1,0.3,23,0.9,5030,204,13.8%,0,0,0,5008.15,445.45,2221.57,2341.13,203,17.4%,0.04,100%,12640.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayce,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,TheShy,TOP,6,1,6,12,259,10.5,13001,526,25.4%,0,0,0,20737.74,17350,3092.65,295.09,840,31.3%,0.49,66.7%,12785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,SofM,JUNGLE,5,0,6,Perfect KDA,150,6.1,9389,380,18.3%,0,0,0,6270.39,5527.41,658.98,84,254,9.5%,0.45,61.1%,17134.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,Angel,MID,4,0,6,Perfect KDA,219,8.9,10543,427,20.6%,0,0,0,10339.15,731.92,7238.62,2368.61,419,15.6%,0.4,55.6%,9437.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,huanfeng,ADC,3,0,8,Perfect KDA,254,10.3,11888,481,23.2%,0,0,0,22273.99,13272.2,7313.94,1687.85,902,33.7%,0.45,61.1%,6270.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard,Team WE vs WBG,Team WE,1 - 2,Weibo Gaming,WEEK2,12.10,2022-06-18,1,ON,SUPPORT,0,0,13,Perfect KDA,39,1.6,6432,260,12.5%,0,0,0,6552.24,885.02,5667.22,0,265,9.9%,0.53,72.2%,5836.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
