Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Wayward,TOP,2,1,5,7,318,8.9,15792,443,23.4%,0,0,0,14504.77,1507.44,9039.68,3957.65,407,24.7%,0.2,87.5%,26593.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Tian,JUNGLE,1,1,5,6,207,5.8,12005,337,17.8%,0,0,0,12236.33,9991.06,1638.27,607,343,20.8%,0.17,75%,29149.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Knight,MID,2,0,5,Perfect KDA,359,10.1,15612,438,23.1%,0,0,0,13198.15,970.07,10296.9,1931.18,370,22.5%,0.2,87.5%,13464.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,JackeyLove,ADC,3,3,1,1.3,354,9.9,15951,447,23.6%,0,0,0,16700.83,7816.71,7059.07,1825.05,468,28.4%,0.11,50%,14254.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Mark,SUPPORT,0,2,6,3,39,1.1,8230,231,12.2%,0,0,0,2101.27,139.01,1087.26,875,59,3.6%,0.17,75%,12710.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Bin,TOP,3,2,1,2,308,8.6,15688,440,25%,0,0,0,18372.85,9383.59,5295.81,3693.45,515,29.5%,0.11,57.1%,17702.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,WeiWei,JUNGLE,1,1,3,4,165,4.6,10191,286,16.3%,0,0,0,5659.62,4287.99,646.86,724.77,159,9.1%,0.11,57.1%,25333.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,icon,MID,1,0,4,Perfect KDA,306,8.6,13646,383,21.8%,0,0,0,20067.43,2139.3,16324.6,1603.53,563,32.2%,0.14,71.4%,14925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Doggo,ADC,2,2,2,2,355,10,15131,424,24.1%,0,0,0,13848.95,11654,1129.39,1065.56,388,22.2%,0.11,57.1%,10553.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thresh,Top Esports vs BLG,Top Esports,2 - 0,Bilibili Gaming,WEEK3,12.11,2022-06-22,1,Crisp,SUPPORT,0,3,7,2.3,38,1.1,8013,225,12.8%,0,0,0,4382.59,133.17,3062.9,1186.52,123,7%,0.2,100%,14489.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
