Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Wayward,TOP,3,3,5,2.7,271,8.4,15461,477,24.6%,0,0,0,23630.31,15148.5,4095.86,4385.95,729,28%,0.25,72.7%,22239.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Tian,JUNGLE,2,0,6,Perfect KDA,187,5.8,11070,341,17.6%,0,0,0,12923.29,10348.3,1423.13,1151.86,398,15.3%,0.25,72.7%,26237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Knight,MID,3,2,7,5,286,8.8,13970,431,22.2%,0,0,0,26346.45,283.07,24821.7,1241.68,812,31.2%,0.31,90.9%,11068.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,JackeyLove,ADC,2,0,5,Perfect KDA,327,10.1,14433,445,23%,0,0,0,15176.57,12802.4,2063.65,310.52,468,18%,0.22,63.6%,11061.1,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Renata Glasc,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Mark,SUPPORT,1,2,7,4,17,0.5,7923,244,12.6%,0,0,0,6383.96,816.49,4680.2,887.27,197,7.6%,0.25,72.7%,10510.3,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Riven,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Zika,TOP,1,2,2,1.5,293,9,12485,385,22.8%,0,0,0,11099.9,11099.9,0,0,342,19.3%,0.09,42.9%,23964.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,XUN,JUNGLE,4,3,2,2,227,7,12354,381,22.5%,0,0,0,17398.5,12592.9,1512.12,3293.48,536,30.3%,0.18,85.7%,29601.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Yuekai,MID,1,3,3,1.3,268,8.3,10859,335,19.8%,0,0,0,12000.61,415.41,11585.2,0,370,20.9%,0.12,57.1%,26977.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,XinLiu,ADC,0,1,3,3,219,6.8,9977,308,18.2%,0,0,0,5758.98,344.4,4509.36,905.22,178,10%,0.09,42.9%,20080.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,Top Esports vs IG,Top Esports,2 - 0,Invictus Gaming,WEEK2,12.10,2022-06-18,2,Wink,SUPPORT,1,2,3,2,81,2.5,9204,284,16.8%,0,0,0,11117.67,10821.7,113.97,182,343,19.4%,0.12,57.1%,11522.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
