Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Wayward,TOP,1,3,3,1.3,225,7.4,10513,346,19%,0,0,0,7428.24,7340.51,87.73,0,245,13.6%,0.13,28.6%,16683.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Tian,JUNGLE,3,0,8,Perfect KDA,187,6.2,10562,348,19.1%,0,0,0,8912.31,7291.87,929.3,691.14,293,16.3%,0.36,78.6%,19865.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Knight,MID,7,0,3,Perfect KDA,275,9.1,13966,460,25.3%,0,0,0,14417,1676.5,12740.5,0,475,26.3%,0.33,71.4%,15308.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,JackeyLove,ADC,3,0,9,Perfect KDA,298,9.8,13464,443,24.4%,0,0,0,21712.33,18617.7,1190.91,1903.72,715,39.6%,0.4,85.7%,11130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Mark,SUPPORT,0,2,10,5,33,1.1,6738,222,12.2%,0,0,0,2292.15,510.24,1781.91,0,75,4.2%,0.33,71.4%,8613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irelia,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Breathe,TOP,0,2,2,1,235,7.7,9946,328,20.3%,0,0,0,4044,2345.52,1698.48,0,133,8.8%,0.07,40%,12668.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Wei,JUNGLE,1,4,3,1,138,4.5,8408,277,17.1%,0,0,0,4342.42,3188.69,983.73,170,143,9.5%,0.13,80%,26479.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,xiaohu,MID,1,3,3,1.3,272,9,11914,392,24.3%,0,0,0,24231.95,127.42,23261.6,842.93,798,53%,0.13,80%,12108.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,GALA,ADC,3,2,2,2.5,268,8.8,12238,403,24.9%,0,0,0,8989.52,8093.94,815.24,80.34,296,19.6%,0.16,100%,12228.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rell,Top Esports vs RNG,Top Esports,2 - 1,Royal Never Give Up,WEEK5,12.12,2022-07-09,3,Ming,SUPPORT,0,3,5,1.7,29,1,6574,216,13.4%,0,0,0,4142.5,301.94,3290.7,549.86,136,9.1%,0.16,100%,14939.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
