Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Vladimir,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Cube,TOP,3,4,3,1.5,234,8.4,10648,383,23.5%,0,0,0,18681.01,1535.21,16965.8,180,672,32.4%,0.22,66.7%,25920.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Leyan,JUNGLE,3,5,2,1,157,5.6,8918,321,19.7%,0,0,0,11919.94,11160.3,373.94,385.7,429,20.7%,0.18,55.6%,29124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Strive,MID,2,7,2,0.6,225,8.1,9491,341,21%,0,0,0,11979.88,360.88,11135,484,431,20.8%,0.14,44.4%,16168.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,iBOY,ADC,1,4,4,1.3,224,8.1,10086,363,22.3%,0,0,0,11187.05,10685,502.05,0,402,19.4%,0.18,55.6%,13332.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,yuyanjia,SUPPORT,0,4,5,1.3,37,1.3,6096,219,13.5%,0,0,0,3939.99,1050.53,2040.02,849.44,142,6.8%,0.18,55.6%,12707.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Wayward,TOP,5,1,5,10,237,8.5,13040,469,21.5%,0,0,0,13943.03,2222.56,8076.69,3643.78,502,18.4%,0.36,43.5%,18372.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Tian,JUNGLE,6,3,4,3.3,184,6.6,11409,410,18.8%,0,0,0,10138.35,9154.98,666.37,317,365,13.4%,0.36,43.5%,27494.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Knight,MID,5,2,9,7,239,8.6,12986,467,21.4%,0,0,0,18584.53,984.93,17599.6,0,669,24.5%,0.5,60.9%,17556.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,JackeyLove,ADC,5,1,6,11,268,9.6,14425,519,23.8%,0,0,0,30028.52,18226.1,9500.64,2301.78,1080,39.6%,0.4,47.8%,11550.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Top Esports vs Rare Atom,Top Esports,2 - 0,Rare Atom,WEEK7,12.12,2022-07-20,2,Mark,SUPPORT,2,2,17,9.5,35,1.3,8721,314,14.4%,0,0,0,3149.37,899.99,1871.38,378,113,4.2%,0.68,82.6%,11688.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
