Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Wayward,TOP,1,2,3,2,217,7.9,9741,355,18.2%,0,0,0,8483.84,4784.26,2829.58,870,309,13.5%,0.15,28.6%,16712.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Tian,JUNGLE,2,1,6,8,185,6.7,10286,375,19.2%,0,0,0,7580.69,6580.78,775.41,224.5,276,12.1%,0.29,57.1%,22229.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Knight,MID,1,1,7,8,228,8.3,10749,392,20%,0,0,0,9249.66,904.06,8345.6,0,337,14.7%,0.29,57.1%,16375.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,JackeyLove,ADC,9,2,2,5.5,277,10.1,15172,553,28.3%,0,0,0,29899.83,27134.9,0,2764.93,1089,47.5%,0.4,78.6%,14549.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuumi,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Mark,SUPPORT,1,1,11,12,5,0.2,7700,281,14.4%,0,0,0,7682.32,634.35,6407.97,640,280,12.2%,0.44,85.7%,4670.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Hoya,TOP,2,2,1,1.5,227,8.3,10293,375,22.9%,0,0,0,13625.46,10954.8,2166.66,504,496,28.8%,0.11,42.9%,20182.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Beichuan,JUNGLE,0,3,6,2,155,5.6,8532,311,18.9%,0,0,0,6432.59,4498.27,1692.32,242,234,13.6%,0.22,85.7%,20893.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vex,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Ucal,MID,2,4,4,1.5,205,7.5,9043,329,20.1%,0,0,0,11628.91,1098.48,9584.43,946,424,24.6%,0.22,85.7%,12974.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,Kepler,ADC,2,2,3,2.5,259,9.4,11332,413,25.2%,0,0,0,13392.67,11632,1444.41,316.26,488,28.3%,0.18,71.4%,9842.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Top Esports vs TT,Top Esports,2 - 0,TT,WEEK8,12.13,2022-07-29,1,yaoyao,SUPPORT,1,3,3,1.3,36,1.3,5836,213,13%,0,0,0,2190.15,630.02,1135.63,424.5,80,4.6%,0.15,57.1%,14894.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
