Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jayce,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Wayward,TOP,3,4,4,1.8,199,7.8,10144,400,19%,0,0,0,18894.99,15437.2,3369.55,88.24,745,24.7%,0.28,30.4%,16024.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Tian,JUNGLE,4,1,12,16,144,5.7,10111,399,19%,0,0,0,12152.46,9968.62,1180.78,1003.06,479,15.9%,0.63,69.6%,22445.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Knight,MID,8,0,5,Perfect KDA,241,9.5,12953,511,24.3%,0,0,0,17399.74,1622.11,11783.8,3993.83,686,22.8%,0.51,56.5%,9453.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,JackeyLove,ADC,8,1,7,15,255,10.1,13111,517,24.6%,0,0,0,24147.65,15554.7,7240.54,1352.41,952,31.6%,0.59,65.2%,10421.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Mark,SUPPORT,0,1,15,15,32,1.3,7031,277,13.2%,0,0,0,3787.93,927.67,2147.14,713.12,149,5%,0.59,65.2%,9469.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Biubiu,TOP,4,4,2,1.5,173,6.8,9536,376,23.4%,0,0,0,11745.57,1616.47,5865.18,4263.92,463,29.2%,0.24,85.7%,23347.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volibear,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,beishang,JUNGLE,1,7,3,0.6,138,5.4,7295,288,17.9%,0,0,0,6103.35,2818.92,2699.67,584.76,241,15.2%,0.16,57.1%,25969.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,xiye,MID,1,4,0,0.3,199,7.8,9636,380,23.7%,0,0,0,9469.68,271.21,8608.12,590.35,373,23.5%,0.04,14.3%,11751.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Xing,ADC,1,3,2,1,224,8.8,8666,342,21.3%,0,0,0,9652.88,8760.43,657.03,235.42,381,24%,0.12,42.9%,15875.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,Top Esports vs Team WE,Top Esports,2 - 0,Team WE,WEEK2,12.10,2022-06-14,2,Kedaya,SUPPORT,0,5,4,0.8,43,1.7,5568,220,13.7%,0,0,0,3245.98,471.61,2268.15,506.22,128,8.1%,0.16,57.1%,15151.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
