Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Wayward,TOP,3,0,2,Perfect KDA,275,10.8,12048,475,23.2%,0,0,0,14522.83,12615.5,1839.33,68,573,23.2%,0.2,31.3%,17427.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Tian,JUNGLE,2,1,6,8,122,4.8,8729,344,16.8%,0,0,0,6850.84,5100.48,1279.45,470.91,270,11%,0.32,50%,16176.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Knight,MID,6,0,4,Perfect KDA,252,9.9,11733,463,22.6%,0,0,0,12103.2,301.8,11701.4,100,477,19.4%,0.39,62.5%,10898.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Mark,ADC,1,0,10,Perfect KDA,124,4.9,8947,353,17.2%,0,0,0,8011.54,834.37,6787.17,390,316,12.8%,0.43,68.8%,16697.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,JackeyLove,SUPPORT,4,2,10,7,70,2.8,10450,412,20.1%,0,0,0,21053.54,19790,0,1263.54,831,33.7%,0.55,87.5%,13786.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camille,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Zoom,TOP,0,4,0,0,185,7.3,7408,292,20.2%,0,0,0,5807.64,3364.55,414.56,2028.53,229,11.4%,0,0%,20275.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,H4cker,JUNGLE,1,5,2,0.6,125,4.9,6887,272,18.8%,0,0,0,7993.7,7193.57,482.13,318,315,15.7%,0.12,100%,27929.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Cryin,MID,1,1,0,1,219,8.6,8692,343,23.7%,0,0,0,15493.53,90.53,15403,0,611,30.5%,0.04,33.3%,11062.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Elk,ADC,1,1,2,3,212,8.4,8752,345,23.9%,0,0,0,17334.51,16246.8,1087.71,0,684,34.1%,0.12,100%,11477.4,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Lulu,Top Esports vs Ultra Prime,Top Esports,2 - 0,Ultra Prime,WEEK7,12.13,2022-07-24,1,Miaoniu,SUPPORT,0,5,3,0.6,6,0.2,4899,193,13.4%,0,0,0,4132.1,364.32,3555.78,212,163,8.1%,0.12,100%,10141.6,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
