Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Kennen,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Zoom,TOP,1,3,1,0.7,250,8.3,11631,385,24.1%,0,0,0,14200.97,1648.2,12071.8,480.97,470,27.8%,0.07,28.6%,13261.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,H4cker,JUNGLE,2,2,5,3.5,143,4.7,8772,290,18.2%,0,0,0,6619.02,5917.48,701.54,0,219,13%,0.23,100%,17271.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Cryin,MID,1,5,3,0.8,218,7.2,10201,338,21.1%,0,0,0,14903.57,334.46,13421.8,1147.31,493,29.2%,0.13,57.1%,12072.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Elk,ADC,3,3,1,1.3,253,8.4,11001,364,22.8%,0,0,0,12296.78,8854.83,3057.93,384.02,407,24.1%,0.13,57.1%,16780.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,ShiauC,SUPPORT,0,4,6,1.5,20,0.7,6669,221,13.8%,0,0,0,3010.88,418.76,2346.71,245.41,100,5.9%,0.2,85.7%,9394.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Bin,TOP,1,1,2,3,270,8.9,12303,407,20.7%,0,0,0,5674.81,526.41,3609.28,1539.12,188,10.9%,0.1,17.6%,18908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graves,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,WeiWei,JUNGLE,10,0,4,Perfect KDA,261,8.6,14587,483,24.5%,0,0,0,15652.59,13215,1117.25,1320.34,518,30.1%,0.46,82.4%,17170.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,FoFo,MID,1,2,12,6.5,178,5.9,10220,338,17.2%,0,0,0,9331.36,419.11,8680.25,232,309,18%,0.43,76.5%,19778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Doggo,ADC,5,3,5,3.3,275,9.1,14656,485,24.6%,0,0,0,17671.68,9832.14,6956.1,883.44,585,34%,0.33,58.8%,11725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma,Ultra Prime vs BLG,Ultra Prime,1 - 2,Bilibili Gaming,WEEK2,12.10,2022-06-16,1,Crisp,SUPPORT,0,1,11,11,24,0.8,7695,255,12.9%,0,0,0,3623.58,318.74,2966.84,338,120,7%,0.36,64.7%,10132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
