Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Summit,TOP,4,1,9,13,287,10.2,13653,484,24.2%,0,0,0,22710.29,15498.4,5589.71,1622.18,804,34.8%,0.46,86.7%,16341.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Clid,JUNGLE,1,0,8,Perfect KDA,152,5.4,9346,331,16.5%,0,0,0,7558.31,6523.33,504.98,530,268,11.6%,0.32,60%,21166.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Care,MID,5,2,6,5.5,240,8.5,11915,422,21.1%,0,0,0,13521.47,1068.07,12453.4,0,479,20.7%,0.39,73.3%,14152.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Lwx,ADC,5,0,6,Perfect KDA,300,10.6,13988,495,24.8%,0,0,0,17298.24,11911.1,4306.78,1080.36,613,26.5%,0.39,73.3%,14781.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Hang,SUPPORT,0,0,13,Perfect KDA,12,0.4,7587,269,13.4%,0,0,0,4244.23,214.3,3852.87,177.06,150,6.5%,0.46,86.7%,4025.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Zoom,TOP,0,4,2,0.5,240,8.5,9362,332,21.9%,0,0,0,13981.13,570.87,13246.2,164.06,495,31.3%,0.07,66.7%,22518.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,H4cker,JUNGLE,1,2,2,1.5,152,5.4,7692,272,18%,0,0,0,5600.79,4449.2,898.64,252.95,198,12.5%,0.11,100%,20909.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Cryin,MID,0,2,2,1,235,8.3,9187,325,21.5%,0,0,0,13163.39,1002.84,11694.2,466.35,466,29.4%,0.07,66.7%,19521.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Elk,ADC,2,3,0,0.7,279,9.9,10945,388,25.6%,0,0,0,8799.26,8311.09,488.17,0,312,19.7%,0.07,66.7%,12186.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,Ultra Prime vs FPX,Funplus Phoenix,2 - 0,Ultra Prime,WEEK9,12.13,2022-08-01,1,Miaoniu,SUPPORT,0,4,3,0.8,17,0.6,5590,198,13.1%,0,0,0,3171.72,456.12,2666.02,49.58,112,7.1%,0.11,100%,10126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
