Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Zoom,TOP,0,4,2,0.5,237,8.4,9548,339,22.4%,0,0,0,11922.06,10629.6,1292.46,0,424,27.6%,0.07,100%,22241.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,H4cker,JUNGLE,2,2,0,1,155,5.5,8224,292,19.3%,0,0,0,3087.12,2425.1,247.02,415,110,7.2%,0.07,100%,19938.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Cryin,MID,0,1,1,1,222,7.9,9242,328,21.6%,0,0,0,15024.31,491.11,14347.2,186,534,34.8%,0.04,50%,14281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Elk,ADC,0,3,0,0,252,9,9930,353,23.3%,0,0,0,9321.68,7863.32,626.16,832.2,331,21.6%,0,0%,10854.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,ShiauC,SUPPORT,0,4,0,0,39,1.4,5758,205,13.5%,0,0,0,3785.83,128.52,3301.49,355.82,134,8.8%,0,0%,12607.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jax,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Zika,TOP,3,1,6,9,225,8,11263,400,20.8%,0,0,0,10650.66,6836.39,3814.27,0,378,17.5%,0.32,64.3%,21063.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,XUN,JUNGLE,1,1,8,9,153,5.4,9730,346,18%,0,0,0,5148.72,4521.25,500.47,127,183,8.5%,0.32,64.3%,19873.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Mole,MID,4,0,6,Perfect KDA,212,7.5,12118,430,22.4%,0,0,0,21152.46,984.97,18192.6,1974.89,751,34.8%,0.36,71.4%,9103.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Ahn,ADC,6,0,4,Perfect KDA,274,9.7,13195,469,24.3%,0,0,0,18025.34,14939.7,2013,1072.64,640,29.7%,0.36,71.4%,7045.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Ultra Prime vs IG,Ultra Prime,1 - 2,Invictus Gaming,WEEK8,12.13,2022-07-28,3,Wink,SUPPORT,0,0,12,Perfect KDA,30,1.1,7893,280,14.6%,0,0,0,5808.47,1853.46,3561.01,394,206,9.6%,0.43,85.7%,8088.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
