Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gangplank,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,shanji,TOP,3,5,4,1.4,202,7.6,10257,386,23.4%,0,0,0,15923.08,9559.46,5218.48,1145.14,599,28.7%,0.26,77.8%,22315.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zed,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,AKi,JUNGLE,0,4,2,0.5,158,5.9,7402,278,16.9%,0,0,0,5801.41,5390.02,204.89,206.5,218,10.4%,0.08,22.2%,20068.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akali,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Creme,MID,4,4,2,1.5,190,7.1,9994,376,22.8%,0,0,0,11773.39,550.69,10908.7,314,443,21.2%,0.23,66.7%,17982.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucian,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Able,ADC,2,4,4,1.5,212,8,9755,367,22.3%,0,0,0,15462.06,10125.2,5181.22,155.64,582,27.8%,0.23,66.7%,19117.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nami,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Jerry,SUPPORT,0,4,8,2,16,0.6,6359,239,14.5%,0,0,0,6591.95,861.81,4704.16,1025.98,248,11.9%,0.3,88.9%,12105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Zoom,TOP,9,1,5,14,247,9.3,13013,490,24.1%,0,0,0,20120.09,5445.02,13381.7,1293.37,757,29.9%,0.53,66.7%,21779.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,H4cker,JUNGLE,3,3,5,2.7,133,5,9062,341,16.8%,0,0,0,7457.21,6372.39,260.32,824.5,281,11.1%,0.3,38.1%,21848.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Cryin,MID,3,1,11,14,218,8.2,12683,477,23.5%,0,0,0,21162.06,985.11,19615.2,561.75,796,31.4%,0.53,66.7%,13283.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xayah,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,Elk,ADC,6,0,5,Perfect KDA,245,9.2,11918,448,22.1%,0,0,0,13039.6,11377.7,1142.99,518.91,491,19.4%,0.41,52.4%,12169.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Ultra Prime vs OMG,Ultra Prime,2 - 0,OMG,WEEK1,12.10,2022-06-12,2,ShiauC,SUPPORT,0,4,15,3.8,7,0.3,7334,276,13.6%,0,0,0,5524.06,1075.59,3505.19,943.28,208,8.2%,0.56,71.4%,11438.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
