Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Swain,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Zoom,TOP,2,3,3,1.7,243,9.1,10184,382,24.5%,0,0,0,15419.7,862.4,14557.3,0,579,36.4%,0.19,100%,15332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,H4cker,JUNGLE,3,5,2,1,145,5.4,8824,331,21.3%,0,0,0,7759.95,6185.62,910.33,664,291,18.3%,0.19,100%,22593.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBlanc,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Cryin,MID,0,2,3,1.5,205,7.7,8012,301,19.3%,0,0,0,5953.87,945.2,5008.67,0,223,14.1%,0.11,60%,11248.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Elk,ADC,0,2,2,1,234,8.8,9105,342,21.9%,0,0,0,10587.13,9094.94,679.15,813.04,397,25%,0.08,40%,8210.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,ShiauC,SUPPORT,0,7,4,0.6,31,1.2,5372,202,12.9%,0,0,0,2629.39,954.39,1113,562,99,6.2%,0.15,80%,14425.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Breathe,TOP,1,0,11,Perfect KDA,230,8.6,11403,428,20.9%,0,0,0,12940.84,8787.35,2770.04,1383.45,486,23.1%,0.45,63.2%,15059.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Wei,JUNGLE,6,2,9,7.5,150,5.6,11266,423,20.6%,0,0,0,9123.87,7345.9,1338.85,439.12,342,16.3%,0.56,78.9%,20268.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,xiaohu,MID,2,2,12,7,198,7.4,10010,376,18.3%,0,0,0,10689.05,1019.51,9669.54,0,401,19.1%,0.53,73.7%,14651.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,GALA,ADC,10,0,7,Perfect KDA,244,9.2,14339,538,26.3%,0,0,0,18238.95,16841,1199.39,198.56,684,32.5%,0.64,89.5%,4949.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,Ultra Prime vs RNG,Ultra Prime,0 - 2,Royal Never Give Up,WEEK4,12.11,2022-07-03,1,Ming,SUPPORT,0,1,15,15,49,1.8,7540,283,13.8%,0,0,0,5059.05,1145.25,3171.02,742.78,190,9%,0.56,78.9%,9455.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
