Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Zoom,TOP,0,3,1,0.3,215,7.9,8580,315,19.2%,0,0,0,8273.1,5195.26,2499.84,578,304,22.6%,0.04,25%,19417.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,H4cker,JUNGLE,3,2,1,2,158,5.8,8950,329,20%,0,0,0,7747.71,5794.36,1405.35,548,285,21.1%,0.15,100%,23620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Cryin,MID,1,2,3,2,254,9.3,11377,418,25.5%,0,0,0,11592.47,528.23,10783.7,280.54,426,31.6%,0.15,100%,11916.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Elk,ADC,0,2,1,0.5,253,9.3,9966,366,22.3%,0,0,0,6039.67,5515.29,468.38,56,222,16.5%,0.04,25%,10027.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,ShiauC,SUPPORT,0,3,4,1.3,20,0.7,5795,213,13%,0,0,0,3020.81,668.14,1916.67,436,111,8.2%,0.15,100%,11279.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mordekaiser,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Cube,TOP,1,1,5,6,245,9,10436,383,19%,0,0,0,13136.14,1635.93,10669.2,831.01,483,21.8%,0.22,50%,19174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Leyan,JUNGLE,4,0,5,Perfect KDA,175,6.4,10248,377,18.7%,0,0,0,6423.33,5714.44,432.89,276,236,10.7%,0.33,75%,20044.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,Strive,MID,2,1,8,10,317,11.6,13583,499,24.8%,0,0,0,16646.24,2452.3,13577.7,616.24,612,27.7%,0.37,83.3%,7538.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,iBOY,ADC,5,1,4,9,285,10.5,13434,494,24.5%,0,0,0,18943.7,12747.2,5365.78,830.72,696,31.5%,0.33,75%,9131.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karma,Ultra Prime vs Rare Atom,Ultra Prime,2 - 1,Rare Atom,WEEK3,12.10,2022-06-20,1,yuyanjia,SUPPORT,0,1,10,10,17,0.6,7129,262,13%,0,0,0,5010.86,611.12,4043.74,356,184,8.3%,0.37,83.3%,4717.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
