Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Xiaolaohu,TOP,5,4,2,1.8,227,8.3,12466,456,27.9%,0,0,0,12734.56,1907.53,7431.41,3395.62,466,32.6%,0.26,87.5%,23650.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Clid,JUNGLE,3,5,2,1,143,5.2,8337,305,18.6%,0,0,0,6062.7,4785.58,1095.62,181.5,222,15.5%,0.18,62.5%,22097.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Care,MID,0,3,3,1,226,8.3,8742,320,19.5%,0,0,0,7678.37,929.06,4244.92,2504.39,281,19.6%,0.11,37.5%,13881.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Lwx,ADC,0,4,2,0.5,260,9.5,9636,352,21.5%,0,0,0,10240.19,8564.24,274.95,1401,374,26.2%,0.07,25%,12732.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thresh,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Hang,SUPPORT,0,7,4,0.6,31,1.1,5542,203,12.4%,0,0,0,2396.17,171.27,1844.9,380,88,6.1%,0.15,50%,14694.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayle,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Rich,TOP,2,5,11,2.6,214,7.8,11283,413,19.2%,0,0,0,13789.69,5340.82,8448.87,0,504,20.7%,0.48,56.5%,19132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Karsa,JUNGLE,6,1,8,14,163,6,10666,390,18.1%,0,0,0,11059.23,8373.06,1858.05,828.12,404,16.6%,0.51,60.9%,21648.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Dream,MID,6,0,4,Perfect KDA,295,10.8,14541,532,24.7%,0,0,0,15354.91,1321.46,13926.7,106.75,561,23%,0.37,43.5%,7279.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Photic,ADC,8,1,5,13,296,10.8,14742,539,25.1%,0,0,0,23339.25,16018.7,6436.79,883.76,853,35%,0.48,56.5%,11860.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,V5 vs FPX,Victory Five,2 - 0,Funplus Phoenix,WEEK3,12.10,2022-06-21,2,Ppgod,SUPPORT,1,1,10,11,32,1.2,7579,277,12.9%,0,0,0,3116.78,499.25,1988.67,628.86,114,4.7%,0.4,47.8%,8725.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
