Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Jax,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Zika,TOP,1,2,1,1,225,8.1,9938,357,22.2%,0,0,0,9558.69,6701.08,2857.61,0,343,20.6%,0.07,50%,19999.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,XUN,JUNGLE,0,2,2,1,156,5.6,8544,307,19.1%,0,0,0,6922.35,5398.45,1135.4,388.5,249,14.9%,0.07,50%,19816.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Mole,MID,1,1,3,4,194,7,9014,324,20.2%,0,0,0,13330.44,1491.94,11568.5,270,479,28.8%,0.14,100%,9592.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Ahn,ADC,1,3,3,1.3,253,9.1,10774,387,24.1%,0,0,0,12744.51,11572.7,1074.31,97.5,458,27.5%,0.14,100%,9334.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Wink,SUPPORT,1,2,2,1.5,35,1.3,6403,230,14.3%,0,0,0,3763.2,975.44,2040.9,746.86,135,8.1%,0.11,75%,8320.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Rich,TOP,3,1,3,6,237,8.5,12106,435,23.4%,0,0,0,16109.65,1318.38,14264.8,526.47,579,34.4%,0.22,60%,14753.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Karsa,JUNGLE,2,2,4,3,172,6.2,9584,344,18.5%,0,0,0,4465.7,3877.84,438.36,149.5,160,9.5%,0.22,60%,23553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,RooKie,MID,3,0,6,Perfect KDA,222,8,11143,400,21.5%,0,0,0,12773.38,636.78,12104.6,32,459,27.3%,0.32,90%,17473.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Photic,ADC,2,0,4,Perfect KDA,248,8.9,12190,438,23.5%,0,0,0,10987.86,10058.6,929.26,0,395,23.5%,0.22,60%,12016.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,V5 vs IG,Victory Five,2 - 0,Invictus Gaming,WEEK6,12.12,2022-07-14,2,Ppgod,SUPPORT,0,1,8,8,12,0.4,6815,245,13.1%,0,0,0,2463.08,349.42,1603.66,510,88,5.3%,0.29,80%,7906.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
