Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Ornn,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,PandaC,TOP,1,6,3,0.7,158,5.6,8624,308,18.6%,0,0,0,8262.09,3381.92,4738.64,141.53,295,13%,0.14,40%,29067.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Tarzan,JUNGLE,4,6,4,1.3,122,4.4,9233,330,19.9%,0,0,0,8352.06,7056.59,778.08,517.39,298,13.1%,0.29,80%,24774.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Doinb,MID,1,4,7,2,229,8.2,9938,355,21.4%,0,0,0,14967.93,2031.63,12858.3,78,535,23.5%,0.29,80%,26066.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sivir,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Light,ADC,4,4,3,1.8,291,10.4,12613,450,27.2%,0,0,0,21520.56,18407.2,1421.4,1691.96,769,33.8%,0.25,70%,16767.7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yuumi,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,LvMao,SUPPORT,0,3,8,2.7,6,0.2,5998,214,12.9%,0,0,0,10643.91,944.82,9045.64,653.45,380,16.7%,0.29,80%,8141.45,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Gragas,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Rich,TOP,3,2,14,8.5,248,8.9,12963,463,21.6%,0,0,0,23287.8,1446.02,21510.7,331.08,832,27.2%,0.61,73.9%,24896.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,XLB,JUNGLE,6,2,12,9,173,6.2,11640,416,19.4%,0,0,0,13650.82,12395.8,974.02,281,488,16%,0.64,78.3%,29460.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yone,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,RooKie,MID,6,3,8,4.7,246,8.8,13174,471,21.9%,0,0,0,18925.26,12463.3,4278.73,2183.23,676,22.1%,0.5,60.9%,23202.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Ppgod,ADC,3,1,14,17,246,8.8,11776,421,19.6%,0,0,0,8649.2,878.67,7770.53,0,309,10.1%,0.61,73.9%,12500.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,V5 vs LNG Esports,Victory Five,2 - 0,LNG Esports,WEEK7,12.13,2022-07-22,2,Photic,SUPPORT,5,2,15,10,50,1.8,10570,378,17.6%,0,0,0,20977.03,18924.6,0,2052.43,749,24.5%,0.71,87%,12899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
