Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,shanji,TOP,1,4,1,0.5,171,7.6,7207,320,20.9%,0,0,0,14912.95,1983.1,8551.11,4378.74,662,35.9%,0.09,100%,19096.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,AKi,JUNGLE,0,4,2,0.5,121,5.4,6339,282,18.4%,0,0,0,3557.82,3172.35,140.97,244.5,158,8.6%,0.09,100%,15021.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,Creme,MID,0,3,0,0,208,9.2,7849,349,22.8%,0,0,0,8533.79,564.08,7969.71,0,379,20.6%,0,0%,17049.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,Able,ADC,1,5,0,0.2,181,8,8089,359,23.5%,0,0,0,10629.85,9517.03,1112.82,0,472,25.6%,0.04,50%,12588.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulu,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,cold,SUPPORT,0,4,1,0.3,26,1.2,5006,222,14.5%,0,0,0,3880.57,721.72,3158.85,0,172,9.3%,0.04,50%,8325.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillia,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,Rich,TOP,3,1,8,11,198,8.8,9489,421,19.3%,0,0,0,9399.23,432.49,6028.83,2937.91,417,16.1%,0.49,55%,10591.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,XLB,JUNGLE,6,1,8,14,109,4.8,9324,414,19%,0,0,0,10164.04,8706.73,923.81,533.5,451,17.4%,0.62,70%,18758.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,RooKie,MID,7,0,6,Perfect KDA,192,8.5,10996,488,22.4%,0,0,0,15519.33,2097.26,10939.9,2482.17,689,26.6%,0.58,65%,13137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,Photic,ADC,2,0,14,Perfect KDA,234,10.4,12214,542,24.8%,0,0,0,18946.84,16456,593.19,1897.65,841,32.5%,0.71,80%,9790.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,V5 vs OMG,OMG,2 - 1,Victory Five,WEEK8,12.13,2022-07-31,2,Ppgod,SUPPORT,2,0,13,Perfect KDA,29,1.3,7162,318,14.6%,0,0,0,4265.02,450.52,3814.5,0,189,7.3%,0.67,75%,11913.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
