Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Rich,TOP,6,1,6,12,352,8.1,20191,466,25%,0,0,0,31548.95,26463.4,4860.16,225.39,729,35.8%,0.28,75%,42560.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Karsa,JUNGLE,2,2,9,5.5,223,5.2,14152,327,17.5%,0,0,0,14746.97,11941.1,1730,1075.87,341,16.7%,0.25,68.8%,32213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orianna,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Dream,MID,4,3,9,4.3,333,7.7,16550,382,20.5%,0,0,0,20270.35,645.04,19311.6,313.71,468,23%,0.3,81.3%,23294.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Photic,ADC,4,2,7,5.5,399,9.2,19597,453,24.2%,0,0,0,14788.34,11987.9,2192.46,607.98,342,16.8%,0.25,68.8%,18534.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Ppgod,SUPPORT,0,3,13,4.3,20,0.5,10337,239,12.8%,0,0,0,6733.13,745.88,3308.4,2678.85,156,7.6%,0.3,81.3%,23265.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Breathe,TOP,2,4,1,0.8,378,8.7,16251,375,22.1%,0,0,0,21662,2981.23,13010.6,5670.17,500,21.8%,0.07,27.3%,36754.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Wei,JUNGLE,2,3,2,1.3,169,3.9,10703,247,14.6%,0,0,0,5140.43,4131.99,662.94,345.5,119,5.2%,0.09,36.4%,28285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,xiaohu,MID,4,3,2,2,402,9.3,19151,442,26%,0,0,0,41045.33,4906.47,34263.2,1875.66,948,41.3%,0.14,54.5%,20604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,GALA,ADC,3,3,3,2,449,10.4,19180,443,26.1%,0,0,0,24335.39,22134.4,1768.27,432.72,562,24.5%,0.14,54.5%,12019.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,V5 vs RNG,Victory Five,2 - 1,Royal Never Give Up,WEEK3,12.11,2022-06-25,3,Ming,SUPPORT,0,3,4,1.3,39,0.9,8261,191,11.2%,0,0,0,7239.5,553.65,6685.85,0,167,7.3%,0.09,36.4%,20551.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
