Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Cube,TOP,0,5,1,0.2,174,8,6788,310,18.3%,0,0,0,8613.29,7183.87,1429.42,0,394,24.3%,0.05,14.3%,15403.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidalee,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Leyan,JUNGLE,3,3,3,2,121,5.5,8016,366,21.6%,0,0,0,7838.86,983.7,6473.29,381.87,358,22.1%,0.27,85.7%,19567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Strive,MID,2,5,1,0.6,193,8.8,8957,409,24.1%,0,0,0,6305.82,1006.68,5219.44,79.7,288,17.8%,0.14,42.9%,13679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,iBOY,ADC,1,5,2,0.6,181,8.3,7571,346,20.4%,0,0,0,9194.63,8911.86,266.72,16.05,420,25.9%,0.14,42.9%,12857.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amumu,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,yuyanjia,SUPPORT,1,5,3,0.8,27,1.2,5778,264,15.6%,0,0,0,3491.71,317.43,2311.93,862.35,160,9.9%,0.18,57.1%,10933.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irelia,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Rich,TOP,5,1,5,10,232,10.6,11322,517,23.1%,0,0,0,13705.38,10040,3665.38,0,626,24.4%,0.46,43.5%,16795.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,XLB,JUNGLE,6,3,9,5,111,5.1,9779,447,20%,0,0,0,15139.29,13083.7,1310.09,745.5,692,26.9%,0.69,65.2%,24619.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,RooKie,MID,4,1,6,10,198,9,9776,447,20%,0,0,0,10051.65,1212.79,8838.86,0,459,17.9%,0.46,43.5%,9206.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Photic,ADC,8,2,6,7,189,8.6,11389,520,23.3%,0,0,0,14252.9,11244.1,1446.75,1562.05,651,25.3%,0.64,60.9%,11166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,V5 vs Rare Atom,Victory Five,2 - 0,Rare Atom,WEEK5,12.12,2022-07-06,2,Ppgod,SUPPORT,0,0,13,Perfect KDA,34,1.6,6688,306,13.7%,0,0,0,3124.05,684.72,2151.33,288,143,5.6%,0.59,56.5%,5290.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
