Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Aatrox,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Rich,TOP,1,0,4,Perfect KDA,235,11,10027,468,21%,0,0,0,10945.2,10945.2,0,0,511,27.7%,0.23,31.3%,12517.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,XLB,JUNGLE,4,0,7,Perfect KDA,162,7.6,9843,460,20.6%,0,0,0,7179.3,222.61,6548.18,408.51,335,18.2%,0.51,68.8%,10503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Dream,MID,3,1,6,9,207,9.7,9866,461,20.6%,0,0,0,4631.15,48.49,4582.66,0,216,11.7%,0.42,56.3%,11130.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Photic,ADC,7,1,7,14,206,9.6,11799,551,24.7%,0,0,0,13849.13,12417.8,349.76,1081.57,647,35.1%,0.65,87.5%,6826.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Ppgod,SUPPORT,1,1,13,14,23,1.1,6263,292,13.1%,0,0,0,2902.4,829.26,1605.64,467.5,136,7.3%,0.65,87.5%,7394.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sejuani,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Biubiu,TOP,0,1,0,0,161,7.5,6437,301,19.9%,0,0,0,4956.52,2930.8,1545.72,480,231,25.4%,0,0%,13013.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,beishang,JUNGLE,1,4,0,0.3,117,5.5,6718,314,20.7%,0,0,0,2183.14,1859.42,309.72,14,102,11.2%,0.05,100%,15570.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corki,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Shanks,MID,0,4,0,0,206,9.6,7606,355,23.5%,0,0,0,7008.12,781.15,5863.38,363.59,327,36%,0,0%,8675.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,Xing,ADC,0,3,0,0,194,9.1,7258,339,22.4%,0,0,0,4256.32,4128.66,127.66,0,199,21.8%,0,0%,6722.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,V5 vs Team WE,Victory Five,2 - 0,Team WE,WEEK4,12.11,2022-06-28,1,heal,SUPPORT,0,4,0,0,33,1.5,4409,206,13.6%,0,0,0,1086.9,323.4,547.5,216,51,5.6%,0,0%,9869.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
