Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,Rich,TOP,3,2,2,2.5,183,7.1,9367,364,19.1%,0,0,0,18326.5,10719.1,6785.4,822,712,28.7%,0.19,45.5%,24790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trundle,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,Karsa,JUNGLE,1,0,6,Perfect KDA,151,5.9,9056,352,18.4%,0,0,0,5947.22,4755.83,574.89,616.5,231,9.3%,0.27,63.6%,21203.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,RooKie,MID,1,1,6,7,239,9.3,10516,409,21.4%,0,0,0,17702.11,584.31,17117.8,0,688,27.7%,0.27,63.6%,12253.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,Photic,ADC,5,0,4,Perfect KDA,263,10.2,13047,507,26.5%,0,0,0,18476.61,16510.2,1580.41,386,718,28.9%,0.35,81.8%,3279.32,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Renata Glasc,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,Ppgod,SUPPORT,1,0,6,Perfect KDA,11,0.4,7172,279,14.6%,0,0,0,3440.01,696.24,2355.77,388,134,5.4%,0.27,63.6%,5652.09,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Fiora,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,TheShy,TOP,1,3,0,0.3,212,8.2,10948,425,25.5%,0,0,0,13759.01,7254.1,1717.48,4787.43,535,33.9%,0.04,33.3%,25539.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,SofM,JUNGLE,1,1,1,2,164,6.4,8537,332,19.9%,0,0,0,4601.8,3098.69,1125.62,377.49,179,11.3%,0.08,66.7%,18508.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,Angel,MID,0,3,1,0.3,216,8.4,8985,349,21%,0,0,0,10144.54,157.27,9805.81,181.46,394,25%,0.04,33.3%,22567.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,ON,ADC,0,3,0,0,165,6.4,7326,285,17.1%,0,0,0,2593.61,223.28,2180.33,190,101,6.4%,0,0%,17233.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senna,V5 vs WBG,Victory Five,1 - 2,Weibo Gaming,WEEK6,12.12,2022-07-17,2,huanfeng,SUPPORT,1,1,0,1,37,1.4,7068,275,16.5%,0,0,0,9449.93,9449.93,0,0,367,23.3%,0.04,33.3%,9859.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
