Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,TheShy,TOP,3,4,3,1.5,229,8.1,12037,424,23.6%,0,0,0,21925.29,18996.3,2778.99,150,772,31.4%,0.21,60%,22366.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,SofM,JUNGLE,2,4,6,2,170,6,9360,330,18.4%,0,0,0,16732.35,15013.1,1149.75,569.5,590,24%,0.28,80%,31762.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Angel,MID,1,1,5,6,242,8.5,11350,400,22.3%,0,0,0,14281.1,1162.28,12965.5,153.32,503,20.5%,0.21,60%,12048.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,huanfeng,ADC,3,4,2,1.3,266,9.4,11880,419,23.3%,0,0,0,11752.21,10390.3,987.96,373.95,414,16.8%,0.18,50%,16038.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,ON,SUPPORT,1,3,5,2,36,1.3,6330,223,12.4%,0,0,0,5120.46,681.87,3744,694.59,180,7.3%,0.21,60%,19176.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiora,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Zdz,TOP,4,4,5,2.3,236,8.3,11457,404,20.9%,0,0,0,17894.62,9621.59,919.04,7353.99,630,22.8%,0.32,56.3%,28409.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Xiaohao,JUNGLE,5,2,5,5,162,5.7,11505,405,21%,0,0,0,11392.02,8241.32,1682.18,1468.52,401,14.5%,0.35,62.5%,24835.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Forge,MID,1,2,13,7,243,8.6,10954,386,20%,0,0,0,20699.97,1108.47,19341.5,250,729,26.4%,0.49,87.5%,23877.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Fortune,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Betty,ADC,5,1,10,15,242,8.5,13099,462,23.9%,0,0,0,22488.95,16211,5167.43,1110.52,792,28.7%,0.53,93.8%,10333.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,WBG vs AL,Weibo Gaming,1 - 2,Anyone s Legend,WEEK5,12.11,2022-07-05,3,Qiuqiu,SUPPORT,1,1,13,14,35,1.2,7707,272,14.1%,0,0,0,5883.24,1590.36,3648.69,644.19,207,7.5%,0.49,87.5%,11728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
