Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Anivia,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,TheShy,TOP,0,3,3,1,199,6.8,8810,302,19.2%,0,0,0,17044.45,1147.05,15897.4,0,585,39.4%,0.1,75%,16023.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,SofM,JUNGLE,1,2,2,1.5,200,6.9,9369,321,20.4%,0,0,0,5502.49,4256.84,474.01,771.64,189,12.7%,0.1,75%,21380.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,Angel,MID,1,3,3,1.3,214,7.3,9355,321,20.4%,0,0,0,8587.54,475.31,8112.23,0,295,19.9%,0.14,100%,20121.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draven,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,huanfeng,ADC,2,1,1,3,271,9.3,12614,433,27.5%,0,0,0,8575.22,7774.25,676.64,124.33,294,19.8%,0.1,75%,17200.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,ON,SUPPORT,0,3,3,1,36,1.2,5761,198,12.5%,0,0,0,3521.35,537.27,2416.75,567.33,121,8.1%,0.1,75%,17717.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,Flandre,TOP,1,1,8,9,263,9,11390,391,20.1%,0,0,0,11762.25,410.51,10898.8,452.94,404,16.3%,0.31,75%,19915.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,Jiejie,JUNGLE,1,1,9,10,152,5.2,9480,325,16.7%,0,0,0,7810.46,6132.34,693.33,984.79,268,10.8%,0.34,83.3%,20221.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,Scout,MID,3,0,4,Perfect KDA,297,10.2,13885,476,24.5%,0,0,0,18572.25,456.35,17229.2,886.7,637,25.8%,0.24,58.3%,10541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,Viper,ADC,7,1,2,9,299,10.3,15022,515,26.5%,0,0,0,29872.94,17389.7,9139.75,3343.49,1025,41.4%,0.31,75%,7892.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,WBG vs EDG,Weibo Gaming,0 - 2,Edward Gaming,WEEK2,12.10,2022-06-13,2,meiko,SUPPORT,0,1,8,8,36,1.2,6869,236,12.1%,0,0,0,4060.87,264.69,3209.42,586.76,139,5.6%,0.27,66.7%,8692.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
