Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Sejuani,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,369,TOP,4,3,9,4.3,245,7.6,12318,382,19.7%,0,0,0,14373.7,7409.34,6014.36,950,445,18.5%,0.4,59.1%,23619.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,Kanavi,JUNGLE,5,1,12,17,185,5.7,13459,417,21.6%,0,0,0,17983.47,14922.5,1805.97,1255,557,23.1%,0.53,77.3%,25920.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylas,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,Yagao,MID,5,0,14,Perfect KDA,250,7.7,14061,436,22.5%,0,0,0,21969.1,607.54,21067.8,293.76,681,28.3%,0.59,86.4%,19917.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,Hope,ADC,7,2,3,5,306,9.5,15001,465,24%,0,0,0,20245.33,17477.7,1653.01,1114.62,627,26.1%,0.31,45.5%,12481.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,Missing,SUPPORT,1,5,10,2.2,24,0.7,7559,234,12.1%,0,0,0,3113.9,789.2,2040.7,284,96,4%,0.34,50%,13082.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyvana,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,TheShy,TOP,0,4,5,1.3,257,8,11126,345,19.7%,0,0,0,18373.79,2035.19,16338.6,0,569,23.9%,0.15,45.5%,26777.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,SofM,JUNGLE,4,2,2,3,167,5.2,9928,308,17.6%,0,0,0,5762.04,4921.72,840.32,0,178,7.5%,0.19,54.5%,24119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,Angel,MID,2,5,3,1,269,8.3,11859,367,21%,0,0,0,25254.48,652.38,24082.1,520,782,32.9%,0.15,45.5%,15174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,huanfeng,ADC,3,5,4,1.4,321,9.9,15464,479,27.4%,0,0,0,14403.49,11724.8,2114.69,564,446,18.8%,0.22,63.6%,18769.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashe,WBG vs JD Gaming,Weibo Gaming,0 - 2,JD Gaming,WEEK9,12.13,2022-08-03,2,ON,SUPPORT,2,6,8,1.7,15,0.5,8140,252,14.4%,0,0,0,13009.34,9108.31,3332.21,568.82,403,16.9%,0.31,90.9%,20253.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
