Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gnar,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,fearness,TOP,2,4,2,1,254,7.5,11158,329,19.8%,0,0,0,12660.21,10071.2,2589.01,0,373,18%,0.12,33.3%,33547.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Zhao,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,Kui,JUNGLE,0,6,9,1.5,174,5.1,9656,284,17.1%,0,0,0,11299.49,8955.41,1350.19,993.89,333,16%,0.27,75%,34723.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahri,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,Haichao,MID,1,4,6,1.8,283,8.3,11987,353,21.3%,0,0,0,12875.09,913.14,9164.77,2797.18,379,18.3%,0.21,58.3%,21063.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,Assum,ADC,8,5,2,2,320,9.4,16191,477,28.7%,0,0,0,29416.26,27781.5,1135.89,498.87,866,41.7%,0.29,83.3%,15311.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistar,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,jinjiao,SUPPORT,1,5,7,1.6,32,0.9,7397,218,13.1%,0,0,0,4256.26,305.27,3224.29,726.7,125,6%,0.24,66.7%,23554.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennen,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,TheShy,TOP,3,5,4,1.4,302,8.9,13741,405,19.3%,0,0,0,27937.98,3623.18,24314.8,0,823,27.9%,0.21,29.2%,23231.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,SofM,JUNGLE,5,1,8,13,196,5.8,12676,373,17.8%,0,0,0,12951.78,10143.6,2427.68,380.5,381,12.9%,0.38,54.2%,33145.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taliyah,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,Angel,MID,3,2,11,7,351,10.3,15843,467,22.3%,0,0,0,22109.65,805.95,21303.7,0,651,22.1%,0.41,58.3%,12623.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeri,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,huanfeng,ADC,11,0,9,Perfect KDA,398,11.7,19829,584,27.9%,0,0,0,31646.7,16699.9,13594.8,1352,932,31.6%,0.59,83.3%,8482.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,WBG vs LGD Gaming,Weibo Gaming,2 - 0,LGD Gaming,WEEK8,12.13,2022-07-29,2,ON,SUPPORT,2,4,15,4.3,40,1.2,9087,268,12.8%,0,0,0,5456.41,1813.18,2629.23,1014,161,5.5%,0.5,70.8%,21480.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
