Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gragas,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,Hoya,TOP,3,3,5,2.7,233,7.3,12730,397,19.9%,0,0,0,16774.17,863.63,15331.9,578.64,523,22.4%,0.25,42.1%,20633.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,Beichuan,JUNGLE,5,1,3,8,161,5,11726,366,18.4%,0,0,0,9725.99,8135.95,970.84,619.2,303,13%,0.25,42.1%,30460.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azir,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,Ucal,MID,6,1,5,11,297,9.3,14685,458,23%,0,0,0,25272.9,2498.53,22374,400.37,788,33.7%,0.34,57.9%,14410.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinx,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,Kepler,ADC,5,1,7,12,311,9.7,16380,511,25.7%,0,0,0,15708.29,13194.1,1249.72,1264.47,490,21%,0.37,63.2%,11575.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braum,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,yaoyao,SUPPORT,0,1,14,14,35,1.1,8297,259,13%,0,0,0,7442.71,949.69,5422.93,1070.09,232,9.9%,0.44,73.7%,12673.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,TheShy,TOP,3,4,1,1,310,9.7,13495,421,25.8%,0,0,0,21196.73,1721.16,12766.5,6709.07,661,40%,0.12,57.1%,28302.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vi,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,SofM,JUNGLE,0,3,6,2,139,4.3,8335,260,16%,0,0,0,5634.33,4747.68,466.15,420.5,176,10.6%,0.19,85.7%,21637.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seraphine,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,Angel,MID,1,3,4,1.7,218,6.8,9707,303,18.6%,0,0,0,7039.46,624.35,6415.11,0,220,13.3%,0.16,71.4%,12498.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,huanfeng,ADC,3,4,2,1.3,287,9,13927,434,26.7%,0,0,0,13690.57,12492.6,881.32,316.65,427,25.8%,0.16,71.4%,11995.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahm Kench,WBG vs TT,Weibo Gaming,2 - 1,TT,WEEK7,12.13,2022-07-22,2,ON,SUPPORT,0,5,3,0.6,47,1.5,6765,211,13%,0,0,0,5462.81,348.56,5114.25,0,170,10.3%,0.09,42.9%,20352.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
