Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Gwen,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,Wayward,TOP,1,4,4,1.3,336,8.6,14608,374,21.3%,0,0,0,18074.9,2032.61,10630.4,5411.89,463,21.3%,0.13,55.6%,29789.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,Tian,JUNGLE,6,1,2,8,252,6.5,13367,342,19.5%,0,0,0,17120.26,14287.9,1520.86,1311.5,439,20.2%,0.2,88.9%,27502.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lissandra,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,Knight,MID,1,3,6,2.3,336,8.6,14384,369,21%,0,0,0,18087.24,882.24,17080,125,463,21.4%,0.18,77.8%,19638.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,JackeyLove,ADC,0,3,3,1,402,10.3,17681,453,25.8%,0,0,0,27058.87,16378.3,8738.25,1942.32,693,31.9%,0.08,33.3%,11754.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,Mark,SUPPORT,1,3,5,2,64,1.6,8461,217,12.4%,0,0,0,4353.36,928,2381.36,1044,112,5.1%,0.15,66.7%,16790.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,TheShy,TOP,4,3,2,2,364,9.3,17254,442,23.3%,0,0,0,18744.67,15218,3293.92,232.75,480,24.4%,0.15,42.9%,29284.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viego,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,SofM,JUNGLE,4,2,7,5.5,185,4.7,13279,340,17.9%,0,0,0,10559.86,8854.09,1184.11,521.66,271,13.8%,0.28,78.6%,31146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swain,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,Angel,MID,0,2,11,5.5,288,7.4,13897,356,18.7%,0,0,0,16390.02,932.14,14761.1,696.78,420,21.4%,0.28,78.6%,27097.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,huanfeng,ADC,5,0,3,Perfect KDA,468,12,19908,510,26.8%,0,0,0,22753.76,20176.8,1858.95,718.01,583,29.6%,0.2,57.1%,11373.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakan,WBG vs Top Esports,Weibo Gaming,1 - 2,Top Esports,WEEK4,12.11,2022-07-02,2,ON,SUPPORT,1,2,11,6,55,1.4,9847,252,13.3%,0,0,0,8294.95,1015.18,6083.48,1196.29,213,10.8%,0.31,85.7%,17975.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
