Champion,Game_title,Team1,Score,Team2,Week,Patch,Date,Match_num,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,GOLD%,WPM,VWPM,WCPM,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Total damage taken,Level,CS in Team's Jungle,CS in Enemy Jungle,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,VS%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total Time Spent Dead
Aatrox,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,Zoom,TOP,3,4,2,1.3,192,7.2,9113,343,22.2%,0,0,0,16188.06,15697.9,0,490.16,610,27.4%,0.19,55.6%,31108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wukong,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,H4cker,JUNGLE,1,5,4,1,135,5.1,7567,285,18.4%,0,0,0,9738.73,7499.22,1520.3,719.21,367,16.5%,0.19,55.6%,24233.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galio,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,Cryin,MID,2,4,5,1.8,168,6.3,8234,310,20%,0,0,0,13349.18,222.76,13059.2,67.22,503,22.6%,0.26,77.8%,17146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphelios,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,Elk,ADC,3,4,6,2.3,222,8.4,10491,395,25.5%,0,0,0,15372.8,14015,1094.5,263.3,579,26%,0.34,100%,13515.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nautilus,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,ShiauC,SUPPORT,0,4,9,2.3,36,1.4,5725,216,13.9%,0,0,0,4377.47,1279.76,2795.71,302,165,7.4%,0.34,100%,12295.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,TheShy,TOP,7,2,8,7.5,238,9,13901,524,24.5%,0,0,0,29939.47,24865,4024.04,1050.43,1128,37.5%,0.57,71.4%,24309.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Sin,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,SofM,JUNGLE,0,3,11,3.7,154,5.8,8623,325,15.2%,0,0,0,10213.53,8051.99,1259.54,902,385,12.8%,0.41,52.4%,23406.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Fate,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,Angel,MID,3,1,8,11,210,7.9,11856,447,20.9%,0,0,0,12664.64,2242.64,10422,0,477,15.9%,0.41,52.4%,10430.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalista,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,huanfeng,ADC,11,1,5,16,249,9.4,14857,560,26.2%,0,0,0,17721.37,14131,3044.73,545.64,668,22.2%,0.6,76.2%,13422.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renata Glasc,WBG vs Ultra Prime,Weibo Gaming,2 - 0,Ultra Prime,WEEK4,12.11,2022-06-29,2,ON,SUPPORT,0,2,17,8.5,20,0.8,7525,284,13.3%,0,0,0,9296.21,1734.38,4758.43,2803.4,350,11.6%,0.64,81%,14059.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
